dataset,recipe,mapping,metric,higher_is_better,n,mean,sd,seeds
cf,plain,none,efficacy,True,9,100.0,0.0,"17332,17333,17334,17335,17336,17337,17338,17339,17340"
cf,plain,none,final_history_efficacy,True,9,11.333333333333334,2.598076211353316,"17332,17333,17334,17335,17336,17337,17338,17339,17340"
cf,plain,none,final_history_locality,True,9,6.881100607816295,2.0948255232831747,"17332,17333,17334,17335,17336,17337,17338,17339,17340"
cf,plain,none,locality,True,9,8.763131458229497,1.4316986370405864,"17332,17333,17334,17335,17336,17337,17338,17339,17340"
cf,ssr_only,cosine,efficacy,True,9,99.88888888888889,0.3333333333333333,"17332,17333,17334,17335,17336,17337,17338,17339,17340"
cf,ssr_only,cosine,final_history_efficacy,True,9,10.666666666666666,2.73861278752583,"17332,17333,17334,17335,17336,17337,17338,17339,17340"
cf,ssr_only,cosine,final_history_locality,True,9,8.129283461636403,1.9631945987399728,"17332,17333,17334,17335,17336,17337,17338,17339,17340"
cf,ssr_only,cosine,locality,True,9,8.578074984202436,0.6148163043345456,"17332,17333,17334,17335,17336,17337,17338,17339,17340"
