dataset,contrast_type,contrast,mapping,recipe,control_recipe,control_mapping,treatment_recipe,treatment_mapping,metric,higher_is_better,n,control_mean,control_sd,treatment_mean,treatment_sd,raw_difference_mean,raw_difference_sd,difference_mean,difference_sd,ci95_low,ci95_high,favorable_pairs,favorable_pair_fraction
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,efficacy,True,9,100.0,0.0,99.88888888888889,0.33333333333333337,-0.1111111111111111,0.3333333333333333,-0.1111111111111111,0.3333333333333333,-0.36733379280046285,0.14511157057824065,0,0.0
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,final_history_efficacy,True,9,11.333333333333334,2.598076211353316,10.666666666666666,2.73861278752583,-0.6666666666666665,3.807886552931954,-0.6666666666666665,3.807886552931954,-3.593667379149807,2.260334045816474,4,0.4444444444444444
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,final_history_locality,True,9,6.881100607816294,2.0948255232831747,8.129283461636401,1.9631945987399728,1.2481828538201085,3.2755076191888906,1.2481828538201085,3.2755076191888906,-1.269595184427336,3.765960892067553,7,0.7777777777777778
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,locality,True,9,8.763131458229497,1.4316986370405864,8.578074984202438,0.6148163043345455,-0.1850564740270607,1.4213661101149537,-0.1850564740270607,1.4213661101149537,-1.2776151832151084,0.907502235160987,4,0.4444444444444444
