rank,condition,seed,control_aa,treatment_aa,aa_gain_pp,control_af,treatment_af,af_reduction_pp,effective_rank_change,overlap_reduction,basis_overlap_reduction,control_effective_rank,treatment_effective_rank,control_prototype_overlap,treatment_prototype_overlap,control_basis_overlap,treatment_basis_overlap
8,cauchy_object_aware,8411,79.61195792984512,80.14758740025155,0.5356294704064339,3.2701371397285626,2.3670971801101306,0.903039959618432,-8.761734008789062,-0.05732044577598572,-0.5486927926540375,163.3138885498047,154.55215454101562,0.08477650582790375,0.14209695160388947,0.4509107768535614,0.9996035695075989
8,cauchy_object_aware,8413,79.60897214331382,79.57502045881917,-0.03395168449465302,3.0271457203786474,3.2908684154437067,-0.2637226950650593,-8.039398193359375,-0.05770059674978256,-0.6482430994510651,162.9915771484375,154.95217895507812,0.08454606682062149,0.14224666357040405,0.35152485966682434,0.9997679591178894
8,cauchy_object_aware,8415,79.90136382273309,79.91749596278402,0.016132140050928,3.1236787891992988,2.896220593891107,0.22745819530819178,-9.322433471679688,-0.0675930380821228,-0.6808694899082184,163.1690216064453,153.84658813476562,0.08670243620872498,0.15429547429084778,0.31681230664253235,0.9976817965507507
8,cauchy_object_aware,8417,79.87177018496013,79.83810496157702,-0.03366522338311029,2.9499756558224464,2.8420305386095692,0.10794511721287714,-8.213180541992188,-0.06562470644712448,-0.5383715331554413,162.58164978027344,154.36846923828125,0.08906186372041702,0.1546865701675415,0.30637022852897644,0.8447417616844177
8,cauchy_object_aware,8419,80.14608505404252,79.73622210778981,-0.4098629462527015,2.7830380462548336,2.859573626403234,-0.07653558014840023,-7.39801025390625,-0.0504768043756485,-0.5130003392696381,162.5634307861328,155.16542053222656,0.08770141005516052,0.13817821443080902,0.4868146479129791,0.9998149871826172
8,cauchy_object_aware,8421,79.94974103582625,79.96449011690383,0.014749081077582105,2.5871172321712863,2.735094439929091,-0.14797720775780476,-7.603118896484375,-0.05601593106985092,-0.5887836813926697,162.58995056152344,154.98683166503906,0.08849824219942093,0.14451417326927185,0.41103458404541016,0.9998182654380798
8,cauchy_object_aware,8423,79.72536954683787,79.89452015449572,0.16915060765785483,3.00962551151726,2.925943364671969,0.08368214684529107,-8.395172119140625,-0.0666792243719101,-0.4500204920768738,162.7041015625,154.30892944335938,0.08454287052154541,0.1512220948934555,0.548801600933075,0.9988220930099487
8,cauchy_object_aware,8425,79.7737116684373,80.19094178856237,0.417230120125069,2.741932257344332,2.511352682212577,0.23057957513175475,-8.90966796875,-0.060850389301776886,-0.6360103785991669,163.22824096679688,154.31857299804688,0.08757186681032181,0.1484222561120987,0.3637203872203827,0.9997307658195496
8,cauchy_object_aware,8427,79.5827331861079,79.93456091860114,0.3518277324932342,3.0325463281216827,2.753642931871329,0.27890339625035354,-10.26641845703125,-0.08363080769777298,-0.4557652175426483,163.42832946777344,153.1619110107422,0.0841449573636055,0.16777576506137848,0.4446166455745697,0.900381863117218
8,cauchy_object_aware,8429,80.05329364920894,79.86229788245122,-0.19099576675772312,2.5933953392345774,2.9786035193711724,-0.38520818013659497,-9.089584350585938,-0.06949512660503387,-0.49069809913635254,162.68812561035156,153.59854125976562,0.0860896110534668,0.15558473765850067,0.5091149210929871,0.9998130202293396
8,gaussian_all_cosine,8411,79.61195792984512,80.43813874377352,0.8261808139284028,3.2701371397285626,2.24426608050817,1.0258710592203926,-32.33192443847656,-0.29226861894130707,-0.5349542796611786,163.3138885498047,130.98196411132812,0.08477650582790375,0.3770451247692108,0.4509107768535614,0.98586505651474
