arm,metric,n,mean,ci95_low,ci95_high
selected,aa_gain_pp,5,0.15044404115779741,0.01876878018674677,0.28211930212884806
selected,af_reduction_pp,5,0.17563072521522952,-0.02498347340966503,0.3762449238401241
selected,effective_rank_gain,5,5.335147094726563,5.254999851946577,5.415294337506548
selected,overlap_reduction,5,0.02802969217300415,0.027536082568116675,0.028523301777891627
narrow widths,aa_gain_pp,5,0.1287945251238199,0.01865893382931791,0.23893011641832188
narrow widths,af_reduction_pp,5,0.14439467484510052,0.002130015847884109,0.2866593338423169
narrow widths,effective_rank_gain,5,5.090481567382812,5.008972976702703,5.171990158062922
narrow widths,overlap_reduction,5,0.026801927387714385,0.02631714352751798,0.02728671124791079
broad widths,aa_gain_pp,5,0.10098323335463703,-0.0793981439147294,0.2813646106240035
broad widths,af_reduction_pp,5,0.144851719673761,-0.046623445654319834,0.3363268850018418
broad widths,effective_rank_gain,5,2.0615936279296876,1.9478728901456472,2.175314365713728
broad widths,overlap_reduction,5,0.02220667153596878,0.02166788597151198,0.02274545710042558
weaker surround,aa_gain_pp,5,0.1504815872818,-0.022455473955831362,0.32341864851943136
weaker surround,af_reduction_pp,5,0.18839227001377323,-0.0077268657035763355,0.3845114057311228
weaker surround,effective_rank_gain,5,3.924810791015625,3.844580691981359,4.005040890049891
weaker surround,overlap_reduction,5,0.024990493059158327,0.02450298057835962,0.025478005539957032
stronger surround,aa_gain_pp,5,0.12658723417156068,0.003165549410246507,0.25000891893287486
stronger surround,af_reduction_pp,5,0.14552231725076598,-0.04748068040570669,0.33852531490723864
stronger surround,effective_rank_gain,5,6.4853668212890625,6.4070833915642265,6.5636502510138985
stronger surround,overlap_reduction,5,0.03026270866394043,0.02976896756059991,0.03075644976728095
