seed,aa_gain_pp,af_reduction_pp,effective_rank_gain,overlap_reduction
83001,-0.02551892747567308,0.08713641367037894,0.5134658813476562,0.008825361728668213
83003,-0.06372924345028252,0.04737388477434479,0.4708995819091797,0.008286282420158386
83005,0.3369060909465418,2.263223733458304,0.1036834716796875,0.0015763640403747559
83007,0.20385988833227486,0.07132530895195544,1.0181655883789062,0.01689019799232483
83009,-0.033145039484793415,-0.07858609821295204,0.7527694702148438,0.01302635669708252
83011,0.0035616331663845813,0.1680720379103704,0.8275661468505859,0.013579398393630981
83013,0.17708353478563765,0.7813166596530152,0.36110687255859375,0.005781278014183044
83015,0.15234373838718795,0.018645656397055177,0.5676288604736328,0.009598404169082642
83017,0.2586770440453279,0.6867496549059879,0.40984153747558594,0.007402747869491577
83019,0.12929971930780937,1.344731242890287,0.6342372894287109,0.011011645197868347
83021,-0.04499522184590887,-0.45222039706703754,0.7415390014648438,0.012869596481323242
83023,0.15512380678603677,0.490653838630557,0.6884880065917969,0.01198209822177887
83025,-0.030422566532323003,-0.3006578974529077,0.5629310607910156,0.00991658866405487
83027,0.07715873507193294,0.3879137156804404,0.6105861663818359,0.010556459426879883
83029,0.3428090079615913,1.184239619678948,0.6252212524414062,0.010774075984954834
83031,0.17674871612372556,0.19091593408901986,0.5129222869873047,0.009243592619895935
83033,0.06636981070069226,0.04421542784462673,0.4116535186767578,0.007468059659004211
83035,0.1266453507512466,0.6114838334644297,0.5575466156005859,0.009573176503181458
83037,-0.40734195538180984,-1.2281036734900965,0.7822246551513672,0.014123976230621338
83039,0.11440060334204816,0.22485356016737512,0.7993564605712891,0.014097735285758972
83041,0.026860006561093996,0.13534810490583027,0.34693145751953125,0.0060715824365615845
83043,0.1748392777054164,0.7504727074807391,0.8606243133544922,0.0148477703332901
83045,0.027706965270326123,-0.3578335676289157,0.6290454864501953,0.010855823755264282
83047,0.10489724399749889,0.7382391422230938,1.0257568359375,0.01846027374267578
83049,-0.026923097030234544,-0.48753733238276453,0.5245609283447266,0.008959949016571045
83051,0.1194752273089108,0.721655358854207,0.5504875183105469,0.009889423847198486
83053,-0.11987762742822383,-0.38163523358939244,0.6009597778320312,0.01029747724533081
83055,0.08579597334218647,0.2757674581581142,0.662353515625,0.011047273874282837
83057,0.03723703019464608,-0.302708836250833,0.443450927734375,0.008113324642181396
83059,0.022701369792642367,-0.035644960813677073,0.5592288970947266,0.009575054049491882
