arm,seed,control_aa,treatment_aa,aa_gain_pp,control_af,treatment_af,af_reduction_pp,control_effective_rank,treatment_effective_rank,effective_rank_gain,control_overlap,treatment_overlap,overlap_reduction
selected,3101,80.60806620364824,80.7829514378028,0.1748852341545586,1.717411555929828,1.5668924618725395,0.15051909405728847,156.86134338378906,162.19363403320312,5.3322906494140625,0.09657428413629532,0.06852559745311737,0.028048686683177948
selected,3103,80.83104705779323,81.13049912249397,0.2994520647007448,1.8466015975451373,1.434384202886106,0.4122173946590313,156.99716186523438,162.42288208007812,5.42572021484375,0.09668716788291931,0.06841721385717392,0.028269954025745392
selected,3105,80.6885083326538,80.82055670083608,0.13204836818228216,1.8208260386138142,1.5684785371278138,0.2523475014860004,156.99984741210938,162.35728454589844,5.3574371337890625,0.09609348326921463,0.06840407103300095,0.027689412236213684
selected,3107,80.90444247249224,80.90727317057897,0.002830698086739858,1.7697535171896637,1.7523851301850104,0.017368387004653263,157.08859252929688,162.33786010742188,5.249267578125,0.09614042192697525,0.06854718178510666,0.02759324014186859
selected,3109,80.65853611241836,80.80153995308302,0.14300384066466165,1.7894661023816045,1.7437648535124304,0.04570124886917415,156.85887145996094,162.16989135742188,5.3110198974609375,0.09701789915561676,0.06847073137760162,0.028547167778015137
narrow widths,3101,80.60806620364824,80.69584858938346,0.08778238573522401,1.717411555929828,1.6386618924969003,0.07874966343292766,156.86134338378906,161.96084594726562,5.0995025634765625,0.09657428413629532,0.06974971294403076,0.026824571192264557
narrow widths,3103,80.83104705779323,81.07300696510045,0.24195990730721917,1.8466015975451373,1.5325269623027582,0.3140746352423791,156.99716186523438,162.16734313964844,5.1701812744140625,0.09668716788291931,0.06965843588113785,0.027028732001781464
narrow widths,3105,80.6885083326538,80.85595871543936,0.16745038278556024,1.8208260386138142,1.6117016907290513,0.20912434788476286,156.99984741210938,162.11614990234375,5.116302490234375,0.09609348326921463,0.06962352991104126,0.02646995335817337
narrow widths,3107,80.90444247249224,80.90946303193319,0.005020559440950478,1.7697535171896637,1.7318683939571151,0.037885123232548557,157.08859252929688,162.0795135498047,4.9909210205078125,0.09614042192697525,0.0697684958577156,0.026371926069259644
narrow widths,3109,80.65853611241836,80.8002955027685,0.1417593903501455,1.7894661023816045,1.7073264979487202,0.08213960443288437,156.85887145996094,161.9343719482422,5.07550048828125,0.09701789915561676,0.06970344483852386,0.027314454317092896
broad widths,3101,80.60806620364824,80.84243074659449,0.23436454294625264,1.717411555929828,1.394115129352295,0.3232964265775329,156.86134338378906,158.96023559570312,2.0988922119140625,0.09657428413629532,0.07427230477333069,0.02230197936296463
broad widths,3103,80.83104705779323,80.96879009823384,0.13774304044061125,1.8466015975451373,1.5516884796984742,0.2949131178466631,156.99716186523438,159.1815643310547,2.1844024658203125,0.09668716788291931,0.07422129064798355,0.02246587723493576
broad widths,3105,80.6885083326538,80.63408854483392,-0.05441978781988155,1.8208260386138142,1.821156224756602,-0.0003301861427877917,156.99984741210938,159.04415893554688,2.0443115234375,0.09609348326921463,0.07430437207221985,0.02178911119699478
broad widths,3107,80.90444247249224,80.85484795097219,-0.049594521520049284,1.7697535171896637,1.7545011148013092,0.015252402388354458,157.08859252929688,159.0214080810547,1.9328155517578125,0.09614042192697525,0.07440249621868134,0.021737925708293915
broad widths,3109,80.65853611241836,80.89535900514461,0.23682289272625212,1.7894661023816045,1.6983392646825621,0.0911268376990424,156.85887145996094,158.9064178466797,2.04754638671875,0.09701789915561676,0.07427943497896194,0.022738464176654816
weaker surround,3101,80.60806620364824,80.78803074779368,0.1799645441454487,1.717411555929828,1.4885481054820489,0.22886345044777912,156.86134338378906,160.80165100097656,3.9403076171875,0.09657428413629532,0.07155215740203857,0.025022126734256744
weaker surround,3103,80.83104705779323,81.11998257077971,0.2889355129864839,1.8466015975451373,1.4652946511836935,0.3813069463614438,156.99716186523438,161.0022735595703,4.0051116943359375,0.09668716788291931,0.0714612603187561,0.025225907564163208
weaker surround,3105,80.6885083326538,80.83843090125075,0.1499225685969492,1.8208260386138142,1.5930529346316755,0.22777310398213868,156.99984741210938,160.94900512695312,3.94915771484375,0.09609348326921463,0.07144476473331451,0.024648718535900116
weaker surround,3107,80.90444247249224,80.8236762467765,-0.08076622571573466,1.7697535171896637,1.823066514843977,-0.05331299765431341,157.08859252929688,160.92015075683594,3.8315582275390625,0.09614042192697525,0.07158192992210388,0.02455849200487137
weaker surround,3109,80.65853611241836,80.87288764881421,0.2143515363958528,1.7894661023816045,1.6321352554497865,0.15733084693181798,156.85887145996094,160.7567901611328,3.897918701171875,0.09701789915561676,0.07152067869901657,0.02549722045660019
stronger surround,3101,80.60806620364824,80.79882366062722,0.19075745697898583,1.717411555929828,1.5853316471063181,0.13207990882350984,156.86134338378906,163.3348388671875,6.4734954833984375,0.09657428413629532,0.06630963087081909,0.030264653265476227
stronger surround,3103,80.83104705779323,81.07034199918573,0.23929494139250096,1.8466015975451373,1.4657128168473368,0.3808887806978005,156.99716186523438,163.57115173339844,6.5739898681640625,0.09668716788291931,0.06618994474411011,0.030497223138809204
stronger surround,3105,80.6885083326538,80.786587740164,0.09807940751019828,1.8208260386138142,1.6443506970962738,0.1764753415175404,156.99984741210938,163.5110321044922,6.5111846923828125,0.09609348326921463,0.06616593897342682,0.02992754429578781
stronger surround,3107,80.90444247249224,80.88308410749679,-0.021358364995450074,1.7697535171896637,1.8144488486994494,-0.044695331509785774,157.08859252929688,163.49122619628906,6.4026336669921875,0.09614042192697525,0.06630808860063553,0.02983233332633972
stronger surround,3109,80.65853611241836,80.78469884238993,0.1261627299715684,1.7894661023816045,1.7066032156568396,0.08286288672476494,156.85887145996094,163.32440185546875,6.4655303955078125,0.09701789915561676,0.06622610986232758,0.030791789293289185
