cohort,seed,arm,stage,metric,value,unit
cohort 1,12401,lowrank_ssr,5,old_miou,42.73366100025691,percent
cohort 1,12401,lowrank_ssr,6,all_miou,39.843200793362136,percent
cohort 1,12401,lowrank_ssr,6,new_miou,17.176409912531685,percent
cohort 1,12401,lowrank_ssr,6,old_boundary_iou,23.39169421039955,percent
cohort 1,12401,lowrank_ssr,6,old_boundary_margin,7.713730335235596,logit
cohort 1,12401,lowrank_ssr,6,old_miou,39.966934236646196,percent
cohort 1,12401,lowrank_ssr,7,all_miou,35.412642351471824,percent
cohort 1,12401,lowrank_ssr,7,new_miou,13.674848344864596,percent
cohort 1,12401,lowrank_ssr,7,old_boundary_iou,19.88623578705922,percent
cohort 1,12401,lowrank_ssr,7,old_boundary_margin,5.188441276550293,logit
cohort 1,12401,lowrank_ssr,7,old_miou,35.738715683464065,percent
cohort 1,12401,lowrank_ssr,8,all_miou,30.17989246318796,percent
cohort 1,12401,lowrank_ssr,8,new_miou,6.332807368941307,percent
cohort 1,12401,lowrank_ssr,8,old_boundary_iou,16.28302194248646,percent
cohort 1,12401,lowrank_ssr,8,old_boundary_margin,3.2662723064422607,logit
cohort 1,12401,lowrank_ssr,8,old_miou,31.20256015286303,percent
cohort 1,12401,lowrank_ssr,9,all_miou,18.841549381915197,percent
cohort 1,12401,lowrank_ssr,9,new_miou,12.211324525399931,percent
cohort 1,12401,lowrank_ssr,9,old_boundary_iou,9.23781667082562,percent
cohort 1,12401,lowrank_ssr,9,old_boundary_margin,2.022321939468384,logit
cohort 1,12401,lowrank_ssr,9,old_miou,18.09972983109166,percent
cohort 1,12405,lowrank,1,all_miou,72.54666519600423,percent
cohort 1,12405,lowrank,1,new_miou,33.59558909957186,percent
cohort 1,12405,lowrank,1,old_boundary_iou,34.793526560273556,percent
cohort 1,12405,lowrank,1,old_boundary_margin,3.2777609825134277,logit
cohort 1,12405,lowrank,1,old_miou,74.65504561199752,percent
cohort 1,12405,lowrank,10,all_miou,13.799793177803188,percent
cohort 1,12405,lowrank,10,new_miou,1.0080203525974198,percent
cohort 1,12405,lowrank,10,old_boundary_iou,6.722073787213595,percent
cohort 1,12405,lowrank,10,old_boundary_margin,5.240985870361328,logit
cohort 1,12405,lowrank,10,old_miou,15.111397457262447,percent
cohort 1,12405,lowrank,2,all_miou,67.37857601895246,percent
cohort 1,12405,lowrank,2,new_miou,67.00475890344937,percent
cohort 1,12405,lowrank,2,old_boundary_iou,34.244940705304465,percent
cohort 1,12405,lowrank,2,old_boundary_margin,3.2847821712493896,logit
cohort 1,12405,lowrank,2,old_miou,66.27405889945143,percent
cohort 1,12405,lowrank,3,all_miou,51.294120733030425,percent
cohort 1,12405,lowrank,3,new_miou,17.539017311874456,percent
cohort 1,12405,lowrank,3,old_boundary_iou,29.90604651598107,percent
cohort 1,12405,lowrank,3,old_boundary_margin,2.4051496982574463,logit
cohort 1,12405,lowrank,3,old_miou,52.329880230427214,percent
cohort 1,12405,lowrank,4,all_miou,42.529171744318575,percent
