task_family,dataset,model,run_id,recipe,distance_mapping,seed,data_offset,n_edits,metric,value,result_path
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9321/results.json,full,projective,9321,500,100,locality,7.682761356290769,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9321/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9323/results.json,full,projective,9323,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9323/results.json,full,projective,9323,500,100,final_history_efficacy,9.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9323/results.json,full,projective,9323,500,100,final_history_locality,9.592293654058357,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9323/results.json,full,projective,9323,500,100,locality,8.850748516189691,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9323/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9325/results.json,full,projective,9325,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9325/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9325/results.json,full,projective,9325,500,100,final_history_efficacy,11.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9325/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9325/results.json,full,projective,9325,500,100,final_history_locality,10.890005501034908,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9325/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9325/results.json,full,projective,9325,500,100,locality,8.469201305230719,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9325/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9327/results.json,full,projective,9327,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9327/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9327/results.json,full,projective,9327,500,100,final_history_efficacy,8.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9327/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9327/results.json,full,projective,9327,500,100,final_history_locality,7.795366969631677,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9327/result_record.json
