cohort,task_family,dataset,model,contrast,mapping,metric,recipe,higher_is_better,n,control_mean,control_sd,treatment_mean,treatment_sd,raw_difference_mean,raw_difference_sd,difference_mean,difference_sd,ci95_low,ci95_high,favorable_pairs
editing_gpt2xl,editing,zsre,gpt2-xl,ssr_only_minus_plain,projective,efficacy,,True,10,99.2,0.4216370213557839,99.2,0.4216370213557839,0.0,0.6666666666666666,0.0,0.6666666666666666,-0.47690460399222656,0.47690460399222656,2
editing_gpt2xl,editing,zsre,gpt2-xl,ssr_only_minus_plain,projective,final_history_efficacy,,True,10,51.1,5.065131346328106,52.5,3.89444048184931,1.4000000000000021,4.788875998951459,1.4000000000000021,4.788875998951459,-2.025755517771734,4.825755517771738,6
editing_gpt2xl,editing,zsre,gpt2-xl,ssr_only_minus_plain,projective,final_history_locality,,True,10,12.2,0.9775252199076789,12.6,2.601281735350223,0.4000000000000002,2.5364016506329072,0.4000000000000002,2.5364016506329072,-1.4144324371404746,2.214432437140475,5
editing_gpt2xl,editing,zsre,gpt2-xl,ssr_only_minus_plain,projective,locality,,True,10,11.15,1.1067971810589328,11.6,1.8226964152656422,0.45,2.1660255461712974,0.45,2.1660255461712974,-1.0994813330008033,1.9994813330008032,5
editing_gpt2xl,editing,cf,gpt2-xl,ssr_only_minus_plain,projective,efficacy,,True,10,99.9,0.31622776601683794,99.8,0.4216370213557839,-0.1,0.31622776601683794,-0.1,0.31622776601683794,-0.3262157162854099,0.12621571628540987,0
editing_gpt2xl,editing,cf,gpt2-xl,ssr_only_minus_plain,projective,final_history_efficacy,,True,10,10.0,3.366501646120693,11.0,2.1081851067789197,0.9999999999999998,3.9440531887330774,0.9999999999999998,3.9440531887330774,-1.82140568614554,3.82140568614554,5
editing_gpt2xl,editing,cf,gpt2-xl,ssr_only_minus_plain,projective,final_history_locality,,True,10,6.9373222447487155,2.207927318122313,6.862848132259897,2.0468946073076872,-0.07447411248881855,2.8107009056463803,-0.07447411248881855,2.8107009056463803,-2.085128416010638,1.9361801910330008,4
editing_gpt2xl,editing,cf,gpt2-xl,ssr_only_minus_plain,projective,locality,,True,10,8.557807878396114,0.7795757326385981,8.61995793422264,0.6911666338993014,0.06215005582652618,1.189117077778145,0.06215005582652618,1.189117077778145,-0.7884930577907436,0.9127931694437961,5
editing_gpt2xl,editing,recent,gpt2-xl,ssr_only_minus_plain,projective,efficacy,,True,10,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
editing_gpt2xl,editing,recent,gpt2-xl,ssr_only_minus_plain,projective,final_history_efficacy,,True,10,56.4,5.037636129950016,58.7,2.9832867780352594,2.2999999999999985,5.869885480616769,2.2999999999999985,5.869885480616769,-1.8990631159198927,6.49906311591989,5
editing_gpt2xl,editing,recent,gpt2-xl,ssr_only_minus_plain,projective,final_history_locality,,True,10,32.656998556998545,4.200974492221032,33.41712121212121,2.927699323304711,0.7601226551226563,5.530073154051607,0.7601226551226563,5.530073154051607,-3.1958533662488806,4.716098676494194,6
editing_gpt2xl,editing,recent,gpt2-xl,ssr_only_minus_plain,projective,locality,,True,10,40.41161976911976,1.074683801279678,40.16864718614718,1.5026480499183081,-0.24297258297257968,1.4524394147658002,-0.24297258297257968,1.4524394147658002,-1.2819851488549576,0.7960399829097982,5
