seed,arm,ssr_lambda,edits,immediate_efficacy_pct,immediate_locality_pct,immediate_rephrase_pct,history_efficacy_pct,pre_edit_output_consistency_pct,center_surround_contrast,kernel_alignment,effective_rank,source_sha256
14234,LoRA,0.0,1,100.0,0.0,100.0,100.0,19.42888293415308,-0.005735195919571977,-0.006369036363529241,6.24570760343756,76ef3eacea6c09f477ab096ad8452f52063f1e6d805d73a0bbb6008781525140
14234,LoRA,0.0,2,100.0,0.0,100.0,50.0,19.428827241063118,-0.005601086732765128,-0.003924051439493529,6.220011958054133,76ef3eacea6c09f477ab096ad8452f52063f1e6d805d73a0bbb6008781525140
14234,LoRA,0.0,5,100.0,0.0,100.0,20.0,19.428827613592148,0.0006792597113027502,0.004183657484515737,6.374382870537894,76ef3eacea6c09f477ab096ad8452f52063f1e6d805d73a0bbb6008781525140
14234,LoRA,0.0,10,100.0,0.0,100.0,10.0,19.437415339052677,-0.00026884349426836696,-0.0014656121194483213,6.582150482705661,76ef3eacea6c09f477ab096ad8452f52063f1e6d805d73a0bbb6008781525140
14234,LoRA,0.0,25,84.0,0.0,72.0,4.0,20.19995655864477,-0.0007518255094640024,-0.0006336632733499366,6.913203967469079,76ef3eacea6c09f477ab096ad8452f52063f1e6d805d73a0bbb6008781525140
14234,LoRA,0.0,50,76.0,0.0,54.0,2.0,19.434012845158577,-0.00479285484990604,-0.004990243344114528,7.031509443053177,76ef3eacea6c09f477ab096ad8452f52063f1e6d805d73a0bbb6008781525140
14234,LoRA,0.0,100,76.0,0.0,47.0,0.0,19.503483921289444,-0.0023695495661481152,-0.0020948101696376398,7.166741008205073,76ef3eacea6c09f477ab096ad8452f52063f1e6d805d73a0bbb6008781525140
14234,LoRA,0.0,250,55.2,0.0,31.6,0.0,19.435210898518562,-0.002706363018140629,-0.0037701962771409725,7.21144600212574,76ef3eacea6c09f477ab096ad8452f52063f1e6d805d73a0bbb6008781525140
14235,LoRA,0.0,1,100.0,0.0,0.0,100.0,22.402630746364594,-0.008487853720777951,-0.009467369582596672,6.42713625729084,3dd464928cda5f15b15305238e07a9955a825aee66adc98c017da3c9f7ee70a8
14235,LoRA,0.0,2,100.0,0.0,50.0,50.0,20.55346965789795,-0.004799703330978186,-0.003951227598528411,6.327970568622861,3dd464928cda5f15b15305238e07a9955a825aee66adc98c017da3c9f7ee70a8
14235,LoRA,0.0,5,100.0,0.0,40.0,20.0,20.95121070742607,-0.009455729659488757,-0.010908472867023582,6.60083346920354,3dd464928cda5f15b15305238e07a9955a825aee66adc98c017da3c9f7ee70a8
14235,LoRA,0.0,10,70.0,0.0,40.0,0.0,20.952776074409485,-0.0045586339989053416,-0.0027053809114607114,6.708119974604674,3dd464928cda5f15b15305238e07a9955a825aee66adc98c017da3c9f7ee70a8
14235,LoRA,0.0,25,60.0,0.0,48.0,0.0,21.00932840257883,-0.0025569485161603166,0.0021584564035167985,6.764813478503909,3dd464928cda5f15b15305238e07a9955a825aee66adc98c017da3c9f7ee70a8
