rank,rank_label,alpha,alpha_over_rank,trainable_parameters,endpoint,delta_pp,ci_low_pp,ci_high_pp,n_paired,status
8,8,32,4,2523136,immediate efficacy,14.439999999999998,7.920000000000004,19.839999999999996,10,rank-specific confirmation
8,8,32,4,2523136,pre-edit output consistency,-0.5049282498657703,-0.9289474599063396,-0.1223944085650148,10,rank-specific confirmation
8,8,32,4,2523136,normalized history AUC,-0.006588855421686723,-0.19535171937751006,0.17614991214859432,10,rank-specific confirmation
16,16,64,4,5046272,immediate efficacy,10.159999999999998,1.0799999999999996,18.360999999999983,10,rank-specific confirmation
16,16,64,4,5046272,pre-edit output consistency,0.07588261738419533,-0.3982987441122532,0.5349942427128551,10,rank-specific confirmation
16,16,64,4,5046272,normalized history AUC,0.3273092369477911,-0.08490995230923702,0.7318022088353414,10,rank-specific confirmation
32,32*,128,4,10092544,immediate efficacy,7.520000000000001,1.4000000000000028,12.480000000000004,10,fixed-lambda interpolation
32,32*,128,4,10092544,pre-edit output consistency,0.5034771002829075,-1.3090875297784805,2.558936150278894,10,fixed-lambda interpolation
32,32*,128,4,10092544,normalized history AUC,-0.15261044176706834,-0.559676204819277,0.25100401606425693,10,fixed-lambda interpolation
64,64,256,4,20185088,immediate efficacy,6.879999999999998,1.1600000000000001,13.239999999999998,10,rank-specific confirmation
64,64,256,4,20185088,pre-edit output consistency,-0.2900027483701706,-1.7141275121830404,0.951119415927678,10,rank-specific confirmation
64,64,256,4,20185088,normalized history AUC,0.15292419678714858,-0.168382906626506,0.48224146586345373,10,rank-specific confirmation
