source,lambda,mean_delta_pp,passes_endpoint_safeguards,per_seed_delta_pp,balance_score,efficacy_nonnegative_seed_count,eligible,learning_rate,locality_nonnegative_seed_count,lora_steps,rank
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.048,"{'efficacy': 8.25, 'final_history': 0.5, 'locality': -1.2184982653707266, 'locality_target_consistency': 0.25, 'portability': -2.75, 'rephrase': -1.0000000000000018}",,"{'16101': {'efficacy': 9.0, 'final_history': 1.0, 'locality': -5.449898540973663, 'locality_target_consistency': 0.5, 'portability': -4.0, 'rephrase': 1.0}, '16102': {'efficacy': 5.0, 'final_history': 0.0, 'locality': 0.23634843528270721, 'locality_target_consistency': 0.5, 'portability': -4.0, 'rephrase': 3.999999999999993}, '16103': {'efficacy': 8.0, 'final_history': 0.0, 'locality': 0.2030128613114357, 'locality_target_consistency': 0.0, 'portability': -1.0000000000000018, 'rephrase': -10.0}, '16104': {'efficacy': 11.0, 'final_history': 1.0, 'locality': 0.13654418289661407, 'locality_target_consistency': 0.0, 'portability': -1.9999999999999982, 'rephrase': 1.0}}",-2.436996530741453,4,False,0.0025,3,60,8
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.064,"{'efficacy': 8.0, 'final_history': 0.5, 'locality': -2.914548432454467, 'locality_target_consistency': 0.5, 'portability': -1.5000000000000004, 'rephrase': 2.5000000000000036}",,"{'16101': {'efficacy': 7.0, 'final_history': 2.0, 'locality': -11.409309692680836, 'locality_target_consistency': 0.0, 'portability': 0.0, 'rephrase': 10.000000000000007}, '16102': {'efficacy': 4.0, 'final_history': 0.0, 'locality': -0.3262164071202278, 'locality_target_consistency': -0.5, 'portability': -5.0, 'rephrase': -5.0}, '16103': {'efficacy': 9.0, 'final_history': 0.0, 'locality': 0.04171431064605713, 'locality_target_consistency': 2.0, 'portability': -1.0000000000000018, 'rephrase': 8.0}, '16104': {'efficacy': 12.0, 'final_history': 0.0, 'locality': 0.03561805933713913, 'locality_target_consistency': 0.5, 'portability': 0.0, 'rephrase': -2.999999999999993}}",-5.829096864908934,4,False,0.0025,2,60,8
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.024,"{'efficacy': 4.0, 'final_history': 0.25, 'locality': 1.7210275400429964, 'locality_target_consistency': 0.375, 'portability': -2.5000000000000004, 'rephrase': -3.0}",,"{'16101': {'efficacy': 22.0, 'final_history': 0.0, 'locality': 6.1892397701740265, 'locality_target_consistency': 0.5, 'portability': -4.000000000000002, 'rephrase': -2.0}, '16102': {'efficacy': -8.0, 'final_history': 2.0, 'locality': 0.26605650782585144, 'locality_target_consistency': -0.5, 'portability': -3.0, 'rephrase': -18.0}, '16103': {'efficacy': -2.0, 'final_history': -1.0, 'locality': 0.2379734069108963, 'locality_target_consistency': 1.5, 'portability': -2.0, 'rephrase': 10.0}, '16104': {'efficacy': 4.0, 'final_history': 0.0, 'locality': 0.1908404752612114, 'locality_target_consistency': 0.0, 'portability': -1.0, 'rephrase': -2.0}}",0.8,2,False,0.0035,4,60,8
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.036,"{'efficacy': 8.25, 'final_history': -0.25, 'locality': 2.221389766782522, 'locality_target_consistency': 0.625, 'portability': -1.4999999999999996, 'rephrase': -1.75}",,"{'16101': {'efficacy': 24.0, 'final_history': -1.0, 'locality': 8.40980913490057, 'locality_target_consistency': 1.0, 'portability': 0.0, 'rephrase': 6.0}, '16102': {'efficacy': 5.0, 'final_history': 0.0, 'locality': 0.40711797773838043, 'locality_target_consistency': 0.0, 'portability': 1.0, 'rephrase': -5.0}, '16103': {'efficacy': 3.0, 'final_history': 0.0, 'locality': 0.020224973559379578, 'locality_target_consistency': 1.0, 'portability': -3.0, 'rephrase': -3.0}, '16104': {'efficacy': 1.0, 'final_history': 0.0, 'locality': 0.04840698093175888, 'locality_target_consistency': 0.5, 'portability': -3.9999999999999982, 'rephrase': -5.0}}",1.65,4,False,0.0035,4,60,8
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.048,"{'efficacy': 3.75, 'final_history': -0.25, 'locality': 2.110293973237276, 'locality_target_consistency': 0.0, 'portability': -3.7500000000000004, 'rephrase': -6.250000000000001}",,"{'16101': {'efficacy': 18.0, 'final_history': -1.0, 'locality': 9.065894037485123, 'locality_target_consistency': 0.5, 'portability': -4.000000000000002, 'rephrase': 3.0}, '16102': {'efficacy': 2.0, 'final_history': 0.0, 'locality': -0.665978342294693, 'locality_target_consistency': -1.0, 'portability': 0.0, 'rephrase': -12.0}, '16103': {'efficacy': 4.0, 'final_history': 0.0, 'locality': -0.011194124817848206, 'locality_target_consistency': 0.5, 'portability': -5.0, 'rephrase': 8.0}, '16104': {'efficacy': -9.0, 'final_history': 0.0, 'locality': 0.05245432257652283, 'locality_target_consistency': 0.0, 'portability': -6.0, 'rephrase': -24.000000000000004}}",0.75,3,False,0.0035,2,60,8
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.064,"{'efficacy': 10.25, 'final_history': 0.0, 'locality': -0.05920589901506901, 'locality_target_consistency': 0.0, 'portability': -2.5000000000000004, 'rephrase': 2.0000000000000018}",,"{'16101': {'efficacy': 22.0, 'final_history': 0.0, 'locality': 0.11631045490503311, 'locality_target_consistency': 0.0, 'portability': -2.0000000000000018, 'rephrase': 10.0}, '16102': {'efficacy': 17.0, 'final_history': 0.0, 'locality': -0.38444045931100845, 'locality_target_consistency': 0.0, 'portability': 3.0, 'rephrase': 2.000000000000007}, '16103': {'efficacy': 11.0, 'final_history': 0.0, 'locality': 0.02948623150587082, 'locality_target_consistency': 0.0, 'portability': -5.0, 'rephrase': 15.0}, '16104': {'efficacy': -9.0, 'final_history': 0.0, 'locality': 0.0018201768398284912, 'locality_target_consistency': 0.0, 'portability': -6.0, 'rephrase': -19.0}}",-0.11841179803013802,3,False,0.0035,3,60,8
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.024,"{'efficacy': -2.5, 'final_history': 0.0, 'locality': 1.9139026757329702, 'locality_target_consistency': 0.0, 'portability': -1.0, 'rephrase': -1.4999999999999982}",,"{'16101': {'efficacy': 6.0, 'final_history': 0.0, 'locality': 8.644137717783451, 'locality_target_consistency': 0.0, 'portability': 1.0, 'rephrase': 13.0}, '16102': {'efficacy': 5.0, 'final_history': 0.0, 'locality': -0.03250539302825928, 'locality_target_consistency': 0.5, 'portability': 0.9999999999999982, 'rephrase': 3.0}, '16103': {'efficacy': -13.0, 'final_history': 0.0, 'locality': -0.9118877351284027, 'locality_target_consistency': 0.0, 'portability': -5.0, 'rephrase': -17.999999999999993}, '16104': {'efficacy': -8.0, 'final_history': 0.0, 'locality': -0.04413388669490814, 'locality_target_consistency': -0.5, 'portability': -0.9999999999999982, 'rephrase': -4.0}}",-0.5,2,False,0.005,1,60,8
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.036,"{'efficacy': 3.25, 'final_history': 0.0, 'locality': 1.30656398832798, 'locality_target_consistency': 0.125, 'portability': -1.5, 'rephrase': 2.0}",,"{'16101': {'efficacy': 11.0, 'final_history': 0.0, 'locality': 7.238827273249626, 'locality_target_consistency': 0.0, 'portability': 1.0, 'rephrase': 8.0}, '16102': {'efficacy': 3.0, 'final_history': 0.0, 'locality': -0.9027069434523582, 'locality_target_consistency': 0.0, 'portability': -1.0000000000000018, 'rephrase': 12.999999999999993}, '16103': {'efficacy': 2.0, 'final_history': 0.0, 'locality': -0.8313056081533432, 'locality_target_consistency': 0.5, 'portability': -5.0, 'rephrase': -14.999999999999993}, '16104': {'efficacy': -3.0, 'final_history': 0.0, 'locality': -0.27855876833200455, 'locality_target_consistency': 0.0, 'portability': -0.9999999999999982, 'rephrase': 2.0}}",0.65,3,False,0.005,1,60,8
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.048,"{'efficacy': -3.25, 'final_history': 0.25, 'locality': -0.07771425880491734, 'locality_target_consistency': 0.375, 'portability': -1.0000000000000004, 'rephrase': 0.5000000000000018}",,"{'16101': {'efficacy': 11.0, 'final_history': 0.0, 'locality': 0.46583786606788635, 'locality_target_consistency': 0.5, 'portability': 1.0, 'rephrase': 1.0}, '16102': {'efficacy': 4.0, 'final_history': 0.0, 'locality': 0.4180915653705597, 'locality_target_consistency': 1.0, 'portability': 1.9999999999999982, 'rephrase': 24.0}, '16103': {'efficacy': -11.0, 'final_history': 0.0, 'locality': -0.9113403037190437, 'locality_target_consistency': 0.5, 'portability': -4.0, 'rephrase': -18.999999999999993}, '16104': {'efficacy': -17.0, 'final_history': 1.0, 'locality': -0.28344616293907166, 'locality_target_consistency': -0.5, 'portability': -3.0, 'rephrase': -4.0}}",-0.65,2,False,0.005,2,60,8
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.064,"{'efficacy': 6.5, 'final_history': 0.0, 'locality': 0.5440981592983007, 'locality_target_consistency': 0.25, 'portability': 0.25, 'rephrase': -0.25}",,"{'16101': {'efficacy': 15.0, 'final_history': 0.0, 'locality': 2.971912734210491, 'locality_target_consistency': 0.5, 'portability': 1.0, 'rephrase': 3.0}, '16102': {'efficacy': 9.0, 'final_history': 0.0, 'locality': -0.08333306759595871, 'locality_target_consistency': 0.5, 'portability': 0.0, 'rephrase': 11.999999999999993}, '16103': {'efficacy': 4.0, 'final_history': 0.0, 'locality': -0.5087725818157196, 'locality_target_consistency': 1.0, 'portability': 0.0, 'rephrase': -8.999999999999993}, '16104': {'efficacy': -2.0, 'final_history': 0.0, 'locality': -0.2034144476056099, 'locality_target_consistency': -1.0, 'portability': 0.0, 'rephrase': -7.0}}",1.0881963185966015,3,False,0.005,1,60,8
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.024,"{'efficacy': 0.5, 'final_history': 0.0, 'locality': 3.0082585755735636, 'locality_target_consistency': 0.25, 'portability': 0.7500000000000004, 'rephrase': -1.0}",,"{'16101': {'efficacy': -5.0, 'final_history': 0.0, 'locality': 10.211903974413872, 'locality_target_consistency': 0.5, 'portability': -1.0, 'rephrase': -4.0}, '16102': {'efficacy': 10.0, 'final_history': 0.0, 'locality': 2.0338861271739006, 'locality_target_consistency': 1.0, 'portability': 5.0, 'rephrase': 18.0}, '16103': {'efficacy': -3.0, 'final_history': 0.0, 'locality': -0.2658700570464134, 'locality_target_consistency': -0.5, 'portability': -2.0, 'rephrase': -17.0}, '16104': {'efficacy': 0.0, 'final_history': 0.0, 'locality': 0.053114257752895355, 'locality_target_consistency': 0.0, 'portability': 1.0000000000000018, 'rephrase': -1.0}}",0.1,2,False,0.0025,3,60,40
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.036,"{'efficacy': 0.5, 'final_history': 0.25, 'locality': 1.3870713766664267, 'locality_target_consistency': -0.125, 'portability': 0.5000000000000004, 'rephrase': -0.5}",,"{'16101': {'efficacy': 6.0, 'final_history': 1.0, 'locality': 6.498653814196587, 'locality_target_consistency': 0.0, 'portability': 2.0, 'rephrase': 13.0}, '16102': {'efficacy': -4.0, 'final_history': 0.0, 'locality': -0.8048910647630692, 'locality_target_consistency': 0.5, 'portability': -2.0, 'rephrase': -10.0}, '16103': {'efficacy': -3.0, 'final_history': 0.0, 'locality': -0.2570103853940964, 'locality_target_consistency': -0.5, 'portability': 1.0, 'rephrase': -6.0}, '16104': {'efficacy': 3.0, 'final_history': 0.0, 'locality': 0.11153314262628555, 'locality_target_consistency': -0.5, 'portability': 1.0000000000000018, 'rephrase': 1.0}}",0.1,2,False,0.0025,2,60,40
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.048,"{'efficacy': 3.0, 'final_history': 0.75, 'locality': 0.2216192428022623, 'locality_target_consistency': -0.125, 'portability': 2.250000000000001, 'rephrase': -2.25}",,"{'16101': {'efficacy': -2.0, 'final_history': 0.0, 'locality': 0.2949357032775879, 'locality_target_consistency': 0.5, 'portability': 4.0, 'rephrase': 2.0}, '16102': {'efficacy': 3.0, 'final_history': 2.0, 'locality': 0.5072182044386864, 'locality_target_consistency': 0.0, 'portability': 0.0, 'rephrase': -6.0}, '16103': {'efficacy': 5.0, 'final_history': 1.0, 'locality': 0.03463961184024811, 'locality_target_consistency': 0.0, 'portability': 4.000000000000002, 'rephrase': -3.0}, '16104': {'efficacy': 6.0, 'final_history': 0.0, 'locality': 0.049683451652526855, 'locality_target_consistency': -1.0, 'portability': 1.0000000000000018, 'rephrase': -2.0}}",0.4432384856045246,3,False,0.0025,4,60,40
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.064,"{'efficacy': 9.25, 'final_history': 0.0, 'locality': 3.0047718435525894, 'locality_target_consistency': -0.125, 'portability': 2.25, 'rephrase': 6.75}",,"{'16101': {'efficacy': 1.0, 'final_history': 0.0, 'locality': 11.650224588811398, 'locality_target_consistency': 0.0, 'portability': 2.0, 'rephrase': 5.0}, '16102': {'efficacy': 19.0, 'final_history': 0.0, 'locality': 0.6123151630163193, 'locality_target_consistency': 0.0, 'portability': 5.0, 'rephrase': 19.0}, '16103': {'efficacy': 0.0, 'final_history': 0.0, 'locality': -0.2435922622680664, 'locality_target_consistency': 0.5, 'portability': 2.0, 'rephrase': 1.0}, '16104': {'efficacy': 17.0, 'final_history': 0.0, 'locality': 0.00013988465070724487, 'locality_target_consistency': -1.0, 'portability': 0.0, 'rephrase': 2.0}}",1.85,4,True,0.0025,3,60,40
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.024,"{'efficacy': 7.9999999999999964, 'final_history': -0.25, 'locality': 0.16552829183638096, 'locality_target_consistency': -0.5, 'portability': -0.25, 'rephrase': -0.75}",,"{'16101': {'efficacy': -7.000000000000007, 'final_history': 0.0, 'locality': 0.0057132914662361145, 'locality_target_consistency': -0.5, 'portability': -3.0, 'rephrase': -6.0}, '16102': {'efficacy': 21.999999999999993, 'final_history': -1.0, 'locality': 0.34321118146181107, 'locality_target_consistency': -1.0, 'portability': 2.0, 'rephrase': 14.0}, '16103': {'efficacy': 14.0, 'final_history': 0.0, 'locality': 0.30773431062698364, 'locality_target_consistency': -0.5, 'portability': 0.0, 'rephrase': -3.0}, '16104': {'efficacy': 3.0, 'final_history': 0.0, 'locality': 0.0054543837904930115, 'locality_target_consistency': 0.0, 'portability': 0.0, 'rephrase': -8.0}}",0.3310565836727619,3,False,0.0035,4,60,40
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.036,"{'efficacy': 9.249999999999998, 'final_history': 0.0, 'locality': -0.4904929082840681, 'locality_target_consistency': -0.25, 'portability': 0.7500000000000002, 'rephrase': 2.5}",,"{'16101': {'efficacy': 7.0, 'final_history': 1.0, 'locality': -2.798748202621937, 'locality_target_consistency': -0.5, 'portability': -7.999999999999999, 'rephrase': -13.0}, '16102': {'efficacy': 20.999999999999993, 'final_history': 0.0, 'locality': 0.8377403020858765, 'locality_target_consistency': 0.0, 'portability': 6.0, 'rephrase': 21.0}, '16103': {'efficacy': 5.0, 'final_history': -1.0, 'locality': 0.0028599053621292114, 'locality_target_consistency': -0.5, 'portability': 2.0, 'rephrase': -2.0}, '16104': {'efficacy': 4.0, 'final_history': 0.0, 'locality': -0.0038236379623413086, 'locality_target_consistency': 0.0, 'portability': 3.0, 'rephrase': 4.0}}",-0.9809858165681362,4,False,0.0035,2,60,40
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.048,"{'efficacy': 7.499999999999998, 'final_history': 0.0, 'locality': 0.09512826800346375, 'locality_target_consistency': 0.375, 'portability': 0.75, 'rephrase': 2.75}",,"{'16101': {'efficacy': 9.0, 'final_history': 1.0, 'locality': -0.836600549519062, 'locality_target_consistency': 0.5, 'portability': 0.0, 'rephrase': 8.0}, '16102': {'efficacy': 23.999999999999993, 'final_history': 0.0, 'locality': 0.7574474439024925, 'locality_target_consistency': 0.0, 'portability': -1.0, 'rephrase': 5.0}, '16103': {'efficacy': -4.0, 'final_history': -1.0, 'locality': 0.40178652852773666, 'locality_target_consistency': 0.5, 'portability': 0.0, 'rephrase': -3.0}, '16104': {'efficacy': 1.0, 'final_history': 0.0, 'locality': 0.057879649102687836, 'locality_target_consistency': 0.5, 'portability': 4.0, 'rephrase': 1.0}}",0.1902565360069275,3,False,0.0035,3,60,40
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.064,"{'efficacy': 15.499999999999998, 'final_history': 0.0, 'locality': 0.2301500178873539, 'locality_target_consistency': 0.5, 'portability': 2.0000000000000004, 'rephrase': 9.999999999999998}",,"{'16101': {'efficacy': 10.0, 'final_history': 1.0, 'locality': 0.05969684571027756, 'locality_target_consistency': -0.5, 'portability': 1.0, 'rephrase': 7.0}, '16102': {'efficacy': 22.999999999999993, 'final_history': 0.0, 'locality': 0.8641518652439117, 'locality_target_consistency': 1.0, 'portability': 4.0, 'rephrase': 14.0}, '16103': {'efficacy': 5.0, 'final_history': -1.0, 'locality': -0.0009270384907722473, 'locality_target_consistency': 1.0, 'portability': 4.000000000000002, 'rephrase': 6.999999999999993}, '16104': {'efficacy': 24.0, 'final_history': 0.0, 'locality': -0.002321600914001465, 'locality_target_consistency': 0.5, 'portability': -1.0, 'rephrase': 12.0}}",0.4603000357747078,4,False,0.0035,2,60,40
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.024,"{'efficacy': 4.0, 'final_history': -0.25, 'locality': 0.03993650898337364, 'locality_target_consistency': -0.375, 'portability': -2.25, 'rephrase': 1.25}",,"{'16101': {'efficacy': 7.0, 'final_history': 0.0, 'locality': -0.31344126909971237, 'locality_target_consistency': 0.0, 'portability': 0.0, 'rephrase': 8.0}, '16102': {'efficacy': 0.0, 'final_history': 1.0, 'locality': -0.7005369290709496, 'locality_target_consistency': -1.0, 'portability': -4.0, 'rephrase': -5.0}, '16103': {'efficacy': 3.0, 'final_history': -1.0, 'locality': 0.048477016389369965, 'locality_target_consistency': -0.5, 'portability': -3.0, 'rephrase': 4.0}, '16104': {'efficacy': 6.0, 'final_history': -1.0, 'locality': 1.1252472177147865, 'locality_target_consistency': 0.0, 'portability': -2.0, 'rephrase': -2.0}}",0.07987301796674728,4,False,0.005,2,60,40
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.036,"{'efficacy': -2.5, 'final_history': -0.25, 'locality': -0.5682671908289194, 'locality_target_consistency': -0.125, 'portability': -3.0, 'rephrase': -7.25}",,"{'16101': {'efficacy': 3.0, 'final_history': 0.0, 'locality': -2.004626952111721, 'locality_target_consistency': 1.0, 'portability': -5.0, 'rephrase': 0.0}, '16102': {'efficacy': 0.0, 'final_history': 0.0, 'locality': -0.9391825646162033, 'locality_target_consistency': -1.0, 'portability': -5.0, 'rephrase': -7.0}, '16103': {'efficacy': -16.0, 'final_history': -1.0, 'locality': 0.6731702014803886, 'locality_target_consistency': -0.5, 'portability': 1.0, 'rephrase': -10.0}, '16104': {'efficacy': 3.0, 'final_history': 0.0, 'locality': -0.0024294480681419373, 'locality_target_consistency': 0.0, 'portability': -3.0, 'rephrase': -12.0}}",-1.1365343816578388,3,False,0.005,1,60,40
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.048,"{'efficacy': 8.000000000000002, 'final_history': 1.0, 'locality': 0.20954464562237263, 'locality_target_consistency': -0.25, 'portability': 0.25000000000000044, 'rephrase': 5.5}",,"{'16101': {'efficacy': 0.0, 'final_history': 0.0, 'locality': -0.47207530587911606, 'locality_target_consistency': 0.0, 'portability': 1.0000000000000018, 'rephrase': 9.0}, '16102': {'efficacy': -4.999999999999993, 'final_history': 4.0, 'locality': -0.9705502539873123, 'locality_target_consistency': -1.0, 'portability': -4.0, 'rephrase': -5.0}, '16103': {'efficacy': 2.0, 'final_history': 0.0, 'locality': -0.001809932291507721, 'locality_target_consistency': 0.0, 'portability': 2.0, 'rephrase': 4.0}, '16104': {'efficacy': 35.0, 'final_history': 0.0, 'locality': 2.2826140746474266, 'locality_target_consistency': 0.0, 'portability': 2.0, 'rephrase': 14.0}}",0.41908929124474525,3,False,0.005,1,60,40
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.064,"{'efficacy': 8.750000000000004, 'final_history': 0.25, 'locality': 0.5855245981365442, 'locality_target_consistency': -0.125, 'portability': 0.25000000000000044, 'rephrase': 4.75}",,"{'16101': {'efficacy': 0.0, 'final_history': 0.0, 'locality': 2.6683110743761063, 'locality_target_consistency': 0.0, 'portability': -1.0, 'rephrase': 7.0}, '16102': {'efficacy': 16.000000000000007, 'final_history': 1.0, 'locality': -0.3249458968639374, 'locality_target_consistency': -0.5, 'portability': -3.0, 'rephrase': 7.0}, '16103': {'efficacy': 5.0, 'final_history': 0.0, 'locality': -0.0018766149878501892, 'locality_target_consistency': 0.0, 'portability': 3.0000000000000018, 'rephrase': -4.0}, '16104': {'efficacy': 14.000000000000007, 'final_history': 0.0, 'locality': 0.0006098300218582153, 'locality_target_consistency': 0.0, 'portability': 2.0, 'rephrase': 9.0}}",1.1710491962730885,4,False,0.005,2,60,40
