source,lambda,mean_delta_pp,passes_endpoint_safeguards,per_seed_delta_pp,balance_score,efficacy_nonnegative_seed_count,eligible,learning_rate,locality_nonnegative_seed_count,lora_steps,rank
source_data/ke_lora_v36/development_selection_rank64.json,0.1,"{'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': -0.1631641760468483, 'immediate_efficacy': -2.5, 'immediate_locality_target_consistency': 0.25, 'immediate_portability': 1.5, 'immediate_rephrase': -5.5, 'normalized_history_auc': -0.7828282828282831}",False,"{'12031': {'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': -0.3280036151409149, 'immediate_efficacy': 1.0, 'immediate_locality_target_consistency': 0.5, 'immediate_portability': 2.0, 'immediate_rephrase': -5.0, 'normalized_history_auc': -0.8080808080808084}, '12032': {'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': 0.0016752630472183228, 'immediate_efficacy': -6.0, 'immediate_locality_target_consistency': 0.0, 'immediate_portability': 1.0, 'immediate_rephrase': -6.0, 'normalized_history_auc': -0.7575757575757578}}",,,,,,,
source_data/ke_lora_v36/development_selection_rank64.json,0.3,"{'final_history_efficacy': 0.78125, 'final_pre_edit_output_consistency': -0.1680111512541771, 'immediate_efficacy': -0.5, 'immediate_locality_target_consistency': -0.75, 'immediate_portability': -1.5, 'immediate_rephrase': -4.0, 'normalized_history_auc': -0.9895833333333335}",False,"{'12031': {'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': -0.3393419086933136, 'immediate_efficacy': 2.0, 'immediate_locality_target_consistency': -0.5, 'immediate_portability': 2.0, 'immediate_rephrase': -1.0, 'normalized_history_auc': -0.8080808080808084}, '12032': {'final_history_efficacy': 1.5625, 'final_pre_edit_output_consistency': 0.0033196061849594116, 'immediate_efficacy': -3.0, 'immediate_locality_target_consistency': -1.0, 'immediate_portability': -5.0, 'immediate_rephrase': -7.0, 'normalized_history_auc': -1.1710858585858586}}",,,,,,,
source_data/ke_lora_v36/development_selection_rank8.json,0.001,"{'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': -0.3856581635773182, 'immediate_efficacy': -1.4999999999999964, 'immediate_locality_target_consistency': -0.25, 'immediate_portability': 0.5, 'immediate_rephrase': -1.5, 'normalized_history_auc': -0.025252525252525082}",True,"{'12031': {'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': 0.001391395926475525, 'immediate_efficacy': 11.000000000000007, 'immediate_locality_target_consistency': 0.0, 'immediate_portability': 0.0, 'immediate_rephrase': 3.0, 'normalized_history_auc': 0.7575757575757578}, '12032': {'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': -0.7727077230811119, 'immediate_efficacy': -14.0, 'immediate_locality_target_consistency': -0.5, 'immediate_portability': 1.0, 'immediate_rephrase': -6.0, 'normalized_history_auc': -0.808080808080808}}",,,,,,,
source_data/ke_lora_v36/development_selection_rank8.json,0.003,"{'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': -0.40350938215851784, 'immediate_efficacy': 3.5000000000000036, 'immediate_locality_target_consistency': -0.25, 'immediate_portability': 0.0, 'immediate_rephrase': 5.5, 'normalized_history_auc': 0.3787878787878789}",True,"{'12031': {'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': 0.04663728177547455, 'immediate_efficacy': 17.000000000000007, 'immediate_locality_target_consistency': -1.0, 'immediate_portability': 0.0, 'immediate_rephrase': 10.0, 'normalized_history_auc': 0.7575757575757578}, '12032': {'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': -0.8536560460925102, 'immediate_efficacy': -10.0, 'immediate_locality_target_consistency': 0.5, 'immediate_portability': 0.0, 'immediate_rephrase': 1.0, 'normalized_history_auc': 0.0}}",,,,,,,
source_data/ke_lora_v36/development_selection_rank8.json,0.01,"{'final_history_efficacy': 0.78125, 'final_pre_edit_output_consistency': -0.4404456354677677, 'immediate_efficacy': -4.4999999999999964, 'immediate_locality_target_consistency': 0.0, 'immediate_portability': -1.0, 'immediate_rephrase': -1.5, 'normalized_history_auc': 0.1972853535353538}",False,"{'12031': {'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': 1.7136335372924805e-05, 'immediate_efficacy': -9.999999999999993, 'immediate_locality_target_consistency': 0.0, 'immediate_portability': 1.0, 'immediate_rephrase': -7.0, 'normalized_history_auc': 0.0}, '12032': {'final_history_efficacy': 1.5625, 'final_pre_edit_output_consistency': -0.8809084072709084, 'immediate_efficacy': 1.0, 'immediate_locality_target_consistency': 0.0, 'immediate_portability': -3.0, 'immediate_rephrase': 4.0, 'normalized_history_auc': 0.3945707070707076}}",,,,,,,
source_data/ke_lora_v36/development_selection_rank8.json,0.03,"{'final_history_efficacy': 0.78125, 'final_pre_edit_output_consistency': -0.44034067541360855, 'immediate_efficacy': 8.000000000000004, 'immediate_locality_target_consistency': 0.0, 'immediate_portability': -0.5, 'immediate_rephrase': 2.0, 'normalized_history_auc': 0.9801136363636367}",True,"{'12031': {'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': 7.7858567237854e-05, 'immediate_efficacy': 16.000000000000007, 'immediate_locality_target_consistency': 0.0, 'immediate_portability': 1.0, 'immediate_rephrase': 6.0, 'normalized_history_auc': 1.5656565656565657}, '12032': {'final_history_efficacy': 1.5625, 'final_pre_edit_output_consistency': -0.880759209394455, 'immediate_efficacy': 0.0, 'immediate_locality_target_consistency': 0.0, 'immediate_portability': -2.0, 'immediate_rephrase': -2.0, 'normalized_history_auc': 0.3945707070707076}}",,,,,,,
source_data/ke_lora_v36/development_selection_rank8.json,0.1,"{'final_history_efficacy': 0.78125, 'final_pre_edit_output_consistency': -0.4150046035647392, 'immediate_efficacy': 14.500000000000004, 'immediate_locality_target_consistency': -0.5, 'immediate_portability': -0.5, 'immediate_rephrase': 8.0, 'normalized_history_auc': 0.5760732323232327}",True,"{'12031': {'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': 0.002100318670272827, 'immediate_efficacy': 20.000000000000007, 'immediate_locality_target_consistency': 0.5, 'immediate_portability': 0.0, 'immediate_rephrase': 6.0, 'normalized_history_auc': 0.7575757575757578}, '12032': {'final_history_efficacy': 1.5625, 'final_pre_edit_output_consistency': -0.8321095257997513, 'immediate_efficacy': 9.0, 'immediate_locality_target_consistency': -1.5, 'immediate_portability': -1.0, 'immediate_rephrase': 10.0, 'normalized_history_auc': 0.3945707070707076}}",,,,,,,
source_data/ke_lora_v36/development_selection_rank8.json,0.3,"{'final_history_efficacy': 0.78125, 'final_pre_edit_output_consistency': -0.40829116478562355, 'immediate_efficacy': 10.500000000000004, 'immediate_locality_target_consistency': -0.25, 'immediate_portability': -1.0, 'immediate_rephrase': 9.0, 'normalized_history_auc': 0.5760732323232327}",True,"{'12031': {'final_history_efficacy': 0.0, 'final_pre_edit_output_consistency': 0.0339483842253685, 'immediate_efficacy': 8.000000000000007, 'immediate_locality_target_consistency': -0.5, 'immediate_portability': -1.0, 'immediate_rephrase': 5.0, 'normalized_history_auc': 0.7575757575757578}, '12032': {'final_history_efficacy': 1.5625, 'final_pre_edit_output_consistency': -0.8505307137966156, 'immediate_efficacy': 13.0, 'immediate_locality_target_consistency': 0.0, 'immediate_portability': -1.0, 'immediate_rephrase': 13.0, 'normalized_history_auc': 0.3945707070707076}}",,,,,,,
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.024,"{'efficacy': 5.25, 'final_history': 0.25, 'locality': -3.25278309173882, 'locality_target_consistency': 0.25, 'portability': -0.25, 'rephrase': -1.9999999999999982}",,"{'16101': {'efficacy': 4.0, 'final_history': 1.0, 'locality': -13.138171657919884, 'locality_target_consistency': 0.0, 'portability': -4.0, 'rephrase': 4.000000000000007}, '16102': {'efficacy': 4.0, 'final_history': 0.0, 'locality': -0.40792524814605713, 'locality_target_consistency': 0.0, 'portability': -2.9999999999999982, 'rephrase': 3.999999999999993}, '16103': {'efficacy': 6.0, 'final_history': 0.0, 'locality': 0.5077144131064415, 'locality_target_consistency': 0.5, 'portability': 1.9999999999999982, 'rephrase': -8.0}, '16104': {'efficacy': 7.0, 'final_history': 0.0, 'locality': 0.027250126004219055, 'locality_target_consistency': 0.5, 'portability': 4.0, 'rephrase': -7.999999999999993}}",-6.50556618347764,4,False,0.0025,2,60,8
source_data/figure5_20260905/remote/zsre_rank40_effloc/development_selection.json,0.036,"{'efficacy': 7.0, 'final_history': 0.0, 'locality': -1.1568021029233932, 'locality_target_consistency': 0.125, 'portability': 0.24999999999999956, 'rephrase': 3.552713678800501e-15}",,"{'16101': {'efficacy': 8.0, 'final_history': 0.0, 'locality': -4.056948237121105, 'locality_target_consistency': 0.0, 'portability': 1.0, 'rephrase': -1.9999999999999858}, '16102': {'efficacy': 1.0, 'final_history': 0.0, 'locality': -0.6058802828192711, 'locality_target_consistency': 0.0, 'portability': -4.0, 'rephrase': 4.999999999999993}, '16103': {'efficacy': 9.0, 'final_history': 0.0, 'locality': -0.00691637396812439, 'locality_target_consistency': 1.0, 'portability': 3.9999999999999982, 'rephrase': 4.0}, '16104': {'efficacy': 10.0, 'final_history': 0.0, 'locality': 0.04253648221492767, 'locality_target_consistency': -0.5, 'portability': 0.0, 'rephrase': -6.999999999999993}}",-2.3136042058467865,4,False,0.0025,1,60,8
