contrast,control,treatment,metric,n,control_mean,control_sd,treatment_mean,treatment_sd,raw_difference_mean,raw_difference_sd,difference_mean,difference_sd,ci95_low,ci95_high,favorable_pairs
direct_ssr,baseline,biocs,mean_iou,10,69.65430783739903,0.477354104600333,69.61680121923011,0.46144499327359656,-0.03750661816891778,0.06341019165436342,-0.03750661816891778,0.06341019165436342,-0.08286753667891086,0.007854300341075295,3
direct_ssr,baseline,biocs,mean_dice,10,81.3908627148863,0.3838562547333025,81.36145433311344,0.37015114096486595,-0.029408381772854854,0.05160736781892716,-0.029408381772854854,0.05160736781892716,-0.06632606874200482,0.007509305196295113,2
direct_ssr,baseline,biocs,avg_forgetting_iou,10,4.013627092868576,0.5066918659469641,4.056293767019156,0.49609445590682655,0.042666674150579766,0.06776062520729192,-0.042666674150579766,0.06776062520729192,-0.09113970534670364,0.005806357045544108,2
matched_kd_ssr,kd,biocs_kd,mean_iou,10,70.54673469535722,0.24946188609662415,70.54178221784545,0.23341949342458151,-0.004952477511757536,0.07509722869139542,-0.004952477511757536,0.07509722869139542,-0.058673798676732954,0.04876884365321788,5
matched_kd_ssr,kd,biocs_kd,mean_dice,10,81.99148981518525,0.22269428312044917,81.99506785691013,0.20456069128746532,0.003578041724841796,0.05726318044837002,0.003578041724841796,0.05726318044837002,-0.03738556986775619,0.044541653317439776,5
matched_kd_ssr,kd,biocs_kd,avg_forgetting_iou,10,3.0740283154922574,0.2831621346057292,3.0789989083303313,0.2848439092914589,0.004970592838074506,0.08737498981716714,-0.004970592838074506,0.08737498981716714,-0.06747489521444591,0.057533709538296895,5
