rank,metric,unit,control_mean,control_ci95_low,control_ci95_high,treatment_mean,treatment_ci95_low,treatment_ci95_high,favorable_paired_change_pp,paired_ci95_low,paired_ci95_high,n
8,AA,%,79.743886725538,79.57149737095236,79.91627608012365,80.52327979133956,80.42305360588709,80.62350597679203,0.7793930658015569,0.6044218436322839,0.9543642879708298,5
8,AF,%,3.076112563329243,2.920734695936115,3.231490430722371,2.2139095444290273,2.101922321196544,2.3258967676615105,0.8622030189002154,0.7136001282850752,1.0108059095153556,5
16,AA,%,79.20885929466348,79.00077507442039,79.41694351490658,80.47122591180081,80.2420917525727,80.70036007102892,1.2623666171373231,1.139369542212088,1.3853636920625583,5
16,AF,%,3.42708401235718,3.2086116065411843,3.6455564181731757,2.1826739433192732,2.03509687843522,2.3302510082033265,1.244410069037907,1.089191192013135,1.399628946062679,5
32,AA,%,78.63769351291697,78.32199033406332,78.95339669177062,80.3295161763203,79.9716453129949,80.6873870396457,1.6918226634033318,1.5563164947087151,1.8273288320979484,5
32,AF,%,3.623912659921074,3.295793411895494,3.952031907946654,2.2197887563178957,1.9814044263963506,2.458173086239441,1.4041239036031778,0.9983438255503703,1.8099039816559854,5
