rank,method,seed,coefficient,avg_accuracy,avg_forgetting,result_file
16,kd_orthogonal,17835,0.01,78.90389385066356,3.7056966917197416,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_orthogonal/seed_17835/result.json
16,kd_orthogonal,17837,0.01,79.19189076974686,3.4568042688715543,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_orthogonal/seed_17837/result.json
16,kd_orthogonal,17839,0.01,78.89640734983136,3.7089966070346954,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_orthogonal/seed_17839/result.json
16,kd_orthogonal,17841,0.01,79.0968139321819,3.4120063258595477,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_orthogonal/seed_17841/result.json
16,kd_orthogonal,17843,0.01,79.46038161311725,2.9736854576343767,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_orthogonal/seed_17843/result.json
16,kd_orthogonal,17845,0.01,79.24973204359374,3.552349995094062,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_orthogonal/seed_17845/result.json
16,kd_orthogonal,17847,0.01,79.11553825069257,3.6497947639614936,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_orthogonal/seed_17847/result.json
16,kd_orthogonal,17849,0.01,79.70433447180775,3.078896680506072,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_orthogonal/seed_17849/result.json
16,kd_protodecor,17831,0.01,79.62925802885073,3.2896054609630028,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_protodecor/seed_17831/result.json
16,kd_protodecor,17833,0.01,79.44303348386853,3.148987057124583,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_protodecor/seed_17833/result.json
16,kd_protodecor,17835,0.01,78.81456644319744,3.8386792093817825,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_protodecor/seed_17835/result.json
16,kd_protodecor,17837,0.01,79.26982498397982,3.3413514196484386,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_protodecor/seed_17837/result.json
16,kd_protodecor,17839,0.01,79.07005022716046,3.6695234881920302,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_protodecor/seed_17839/result.json
16,kd_protodecor,17841,0.01,78.93054612882273,3.661254938630026,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_protodecor/seed_17841/result.json
16,kd_protodecor,17843,0.01,79.02645872262215,3.482769252868744,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lowrank_geometry_r16_1node_20260906_r1_cub_lowrank_fixedkd_geometry_v1/rank_16/confirmation/kd_protodecor/seed_17843/result.json
