method,coefficient,mean_aa,mean_af,selection_utility_aa_minus_af,selected,development_seeds
ewc,100.0,89.13178647267098,3.795096741070486,85.33668973160052,False,17301;17303;17305
ewc,1000.0,89.12205732159593,3.8153426304267004,85.30671469116923,False,17301;17303;17305
ewc,10000.0,90.16654941196971,3.1575272480103584,87.00902216395936,False,17301;17303;17305
ewc,100000.0,91.34045841297097,1.534804696678677,89.8056537162923,True,17301;17303;17305
lwf,0.5,79.31426705143724,14.30494281434959,65.00932423708765,True,17301;17303;17305
lwf,1.0,74.88411381427782,18.270385215466924,56.613728598810894,False,17301;17303;17305
lwf,2.0,73.84616200677279,19.04905726538827,54.79710474138451,False,17301;17303;17305
lwf,4.0,72.7611864704965,19.88800766096716,52.87317880952933,False,17301;17303;17305
mas,0.01,89.29535973624252,3.510284683465532,85.78507505277697,False,17301;17303;17305
mas,0.1,91.39617287537068,2.1471534916472828,89.24901938372341,True,17301;17303;17305
mas,1.0,90.74631796978265,2.3993069489405676,88.34701102084209,False,17301;17303;17305
mas,10.0,88.6185352959995,1.9051746059815315,86.71336069001796,False,17301;17303;17305
si,0.001,88.5169199090592,4.4464636259715915,84.07045628308761,True,17301;17303;17305
si,0.01,88.5169199090592,4.4464636259715915,84.07045628308761,False,17301;17303;17305
si,0.1,88.5169199090592,4.4464636259715915,84.07045628308761,False,17301;17303;17305
si,1.0,88.5169199090592,4.4464636259715915,84.07045628308761,False,17301;17303;17305
ssr,0.25,87.27534624983082,5.795443008958512,81.4799032408723,False,17301;17303;17305
ssr,0.5,87.98724915531211,5.060502705908411,82.92674644940371,False,17301;17303;17305
ssr,1.0,89.35999325188605,4.379545404260805,84.98044784762526,True,17301;17303;17305
ssr,2.0,82.18262527397684,11.978358772495113,70.20426650148174,False,17301;17303;17305
