block,method_key,method_label,aa_mean_percent,aa_sd,af_mean_percent,af_sd,n
KD off,ewc,LowRank+EWC,91.50646984106558,0.8884412697040317,1.04014045196889,0.6220248092883656,10
LwF teacher,lwf,LowRank+LwF,81.11458673234118,1.918288919018972,12.229872200790785,1.9097369281770815,10
LwF teacher,lwf_ssr,LowRank+LwF+SSR,79.61598504862096,1.2934811624619131,14.214285736168687,1.4384127771339643,10
KD off,mas,LowRank+MAS,90.78009374373129,0.7854650153396755,2.4223536775247947,0.6601809015801691,10
KD off,si,LowRank+SI,88.24025415119232,1.1338326485409609,4.6234639275541065,1.0932846357785284,10
KD off,ssr,LowRank+SSR,89.03159143910379,0.89107314601924,4.266193987380412,0.8109799936482369,10
KD off,task,LowRank,88.24025415119232,1.1338326485409609,4.6234639275541065,1.0932846357785284,10
