block,method_key,method_label,seed,selected_coefficient,aa_percent,af_percent,dataset,rank,adapter,epochs_per_task
KD off,si,LowRank+SI,17341,0.001,89.25118681699823,4.14792815224489,CUB-200-2011,32,GELU bottleneck,40
KD off,si,LowRank+SI,17343,0.001,89.48079582460295,3.5975850872536856,CUB-200-2011,32,GELU bottleneck,40
KD off,si,LowRank+SI,17345,0.001,88.84803426357158,3.9593099622024077,CUB-200-2011,32,GELU bottleneck,40
KD off,si,LowRank+SI,17347,0.001,89.62897943928633,3.074942270584226,CUB-200-2011,32,GELU bottleneck,40
KD off,si,LowRank+SI,17349,0.001,86.9204108049786,5.566810566290893,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf,LowRank+LwF,17331,0.5,77.59796707620966,15.794884421088573,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf,LowRank+LwF,17333,0.5,80.03475368958851,13.279957522489031,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf,LowRank+LwF,17335,0.5,82.1527719536769,11.459753975709992,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf,LowRank+LwF,17337,0.5,80.20576522959375,13.065205494419489,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf,LowRank+LwF,17339,0.5,83.132876736774,9.793051141882938,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf,LowRank+LwF,17341,0.5,84.18949878767963,9.531033013092216,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf,LowRank+LwF,17343,0.5,82.55019677080311,10.767696445284933,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf,LowRank+LwF,17345,0.5,80.24854825282398,13.263238334457084,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf,LowRank+LwF,17347,0.5,79.95654591713236,13.34370254692683,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf,LowRank+LwF,17349,0.5,81.07694290912998,12.00019911255677,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf_ssr,LowRank+LwF+SSR,17331,0.5,79.48287762020374,14.359686798121066,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf_ssr,LowRank+LwF+SSR,17333,0.5,77.40039052840483,16.68715645453405,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf_ssr,LowRank+LwF+SSR,17335,0.5,80.79194215878611,12.763533936535309,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf_ssr,LowRank+LwF+SSR,17337,0.5,79.64445467035935,13.838753602667103,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf_ssr,LowRank+LwF+SSR,17339,0.5,81.0785547609395,12.377358450095592,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf_ssr,LowRank+LwF+SSR,17341,0.5,81.31562391864055,13.069981232456723,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf_ssr,LowRank+LwF+SSR,17343,0.5,80.31403221504013,13.443680365300702,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf_ssr,LowRank+LwF+SSR,17345,0.5,78.03781659887295,16.295044193612647,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf_ssr,LowRank+LwF+SSR,17347,0.5,78.82970464436146,15.004417970021501,CUB-200-2011,32,GELU bottleneck,40
LwF teacher,lwf_ssr,LowRank+LwF+SSR,17349,0.5,79.264453370601,14.303244358342182,CUB-200-2011,32,GELU bottleneck,40
