cohort,stage,metric,unit,mean_lowrank_ssr_minus_lowrank,ci95_low,ci95_high
primary,1,all_miou,pp,0.0021056301533628474,-0.008938971486904812,0.01703938849630937
primary,1,old_miou,pp,0.002819795083385257,-0.010943413100188426,0.020728799253826313
primary,1,old_boundary_iou,pp,-0.06524475023563348,-0.18669589069191417,0.01737297907507096
primary,1,old_boundary_margin,logit,-0.00018033981323242187,-0.003347969055175781,0.0031398534774780273
primary,2,all_miou,pp,-1.1961906051768467,-1.4029657988768285,-1.0132731563268094
primary,2,old_miou,pp,-0.7194761296923469,-0.9176653138085555,-0.5641281479741567
primary,2,old_boundary_iou,pp,-0.39690914963897705,-0.7835983460077017,-0.01901522455369009
primary,2,old_boundary_margin,logit,-0.25408909320831297,-0.28761968612670896,-0.22471845149993896
primary,3,all_miou,pp,1.4395311978223735,1.058152440386908,1.8174569817875852
primary,3,old_miou,pp,1.3139062389259015,0.8641586266591894,1.7599137542664622
primary,3,old_boundary_iou,pp,-1.2406552216837978,-2.081349855668891,-0.5148507048844686
primary,3,old_boundary_margin,logit,0.6725859403610229,0.5757156372070312,0.7698969364166259
primary,4,all_miou,pp,2.188714728664353,1.48342914624089,2.8620083156874836
primary,4,old_miou,pp,1.9868907172873829,1.3008215066048567,2.656835289508828
primary,4,old_boundary_iou,pp,-0.02517727440636885,-1.35691841104467,1.159088976438293
primary,4,old_boundary_margin,logit,0.22652848958969116,0.16934217214584352,0.2802298545837402
primary,5,all_miou,pp,1.8971479973067178,1.4578726253900176,2.302657042696894
primary,5,old_miou,pp,1.8436375351328784,1.3902441489794164,2.2828826190362728
primary,5,old_boundary_iou,pp,0.6788239213202344,-0.17048381362645942,1.5403702112238085
primary,5,old_boundary_margin,logit,0.09079667329788207,0.0320888876914978,0.14005918502807618
primary,6,all_miou,pp,2.1710876848319645,1.7561112622337542,2.6201218437495224
primary,6,old_miou,pp,1.7120310736141575,1.3225131425392338,2.1611046798805855
primary,6,old_boundary_iou,pp,0.7744836286854329,0.14912836546322084,1.5058677865044043
primary,6,old_boundary_margin,logit,0.14614639282226563,0.07305741310119629,0.21290960311889648
primary,7,all_miou,pp,1.220790084777588,0.691997337456724,1.7630253670704799
primary,7,old_miou,pp,0.910762264919277,0.3458811922950211,1.4923343838976044
primary,7,old_boundary_iou,pp,0.8706342348523013,0.024121311985970117,1.7411917676185378
primary,7,old_boundary_margin,logit,0.1809216022491455,0.08296136856079102,0.27619152069091796
primary,8,all_miou,pp,1.1787447692286308,0.6721135507978249,1.6464073872209168
primary,8,old_miou,pp,0.909863200121137,0.5942520198259083,1.2140867948667788
primary,8,old_boundary_iou,pp,0.2584345517158976,-0.2743150695137885,0.7425086658078773
primary,8,old_boundary_margin,logit,0.026897597312927245,-0.048235201835632326,0.08691282272338867
primary,9,all_miou,pp,1.0026084010684504,0.3609565341577939,1.586143602497604
primary,9,old_miou,pp,0.6765686799528661,0.06715937201483557,1.2207845367759016
primary,9,old_boundary_iou,pp,0.353918755998034,-0.27296896146955807,0.9605270014107831
primary,9,old_boundary_margin,logit,-0.009454178810119628,-0.0795663833618164,0.05002508163452148
primary,10,all_miou,pp,0.8056056339908841,0.2698848796050629,1.2917846450304171
primary,10,old_miou,pp,0.7308777709063965,0.06462421958129322,1.32733853749044
primary,10,old_boundary_iou,pp,0.6163898188479374,0.06659135241374348,1.3062424607801482
primary,10,old_boundary_margin,logit,0.010441732406616212,-0.16963419914245606,0.20036687850952148
