target_key,target_label,learned_object,seed,control_aa_percent,treatment_aa_percent,aa_gain_pp,control_af_percent,treatment_af_percent,af_reduction_pp,dataset,rank,epochs_per_task,scaffold,radial_family,condition
prototype,Prototype SSR,classifier prototypes,8411,79.02245177653677,79.74001709062631,0.7175653140895406,3.45856522566795,2.8411700959877835,0.6173951296801667,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_prototype_only
prototype,Prototype SSR,classifier prototypes,8413,79.72979108729795,79.39077023014076,-0.33902085715719465,3.0940915003958795,3.4443895971753853,-0.35029809677950574,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_prototype_only
prototype,Prototype SSR,classifier prototypes,8415,79.26635568601128,79.73563544855989,0.46927976254860937,3.621185385449735,3.2961923164293037,0.32499306902043124,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_prototype_only
prototype,Prototype SSR,classifier prototypes,8417,79.89184946284342,79.61213419357239,-0.27971526927103696,2.716136158347909,3.232847511955159,-0.5167113536072501,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_prototype_only
prototype,Prototype SSR,classifier prototypes,8419,79.19356438514342,79.59088373540561,0.3973193502621939,3.556821043609751,2.9698898642262574,0.5869311793834937,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_prototype_only
prototype,Prototype SSR,classifier prototypes,8421,79.45936307262211,80.31551634610119,0.8561532734790802,3.198378488250798,2.402802437525589,0.795576050725209,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_prototype_only
prototype,Prototype SSR,classifier prototypes,8423,79.3903371677928,79.82076615854965,0.4304289907568517,3.3339772018311145,2.93705308214791,0.3969241196832045,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_prototype_only
prototype,Prototype SSR,classifier prototypes,8425,79.3298013775408,79.73440499348695,0.4046036159461437,3.076270534328281,3.2045150488533007,-0.12824451452501995,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_prototype_only
prototype,Prototype SSR,classifier prototypes,8427,80.05860870599136,79.67167112849175,-0.38693757749960866,2.7129253601206726,3.0665955788949466,-0.35367021877427396,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_prototype_only
prototype,Prototype SSR,classifier prototypes,8429,79.10256155300384,79.81764413676186,0.7150825837580186,3.3004699188076665,2.7629458814075125,0.537524037400154,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_prototype_only
adapter_basis,Adapter-basis SSR,adapter output basis,8411,79.02245177653677,79.40254828154112,0.3800965050043459,3.45856522566795,2.9892374194601947,0.4693278062077555,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_basis_projective
adapter_basis,Adapter-basis SSR,adapter output basis,8413,79.72979108729795,79.41017858519197,-0.3196125021059828,3.0940915003958795,3.1402243014126916,-0.04613280101681205,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_basis_projective
adapter_basis,Adapter-basis SSR,adapter output basis,8415,79.26635568601128,79.83262565353205,0.5662699675207676,3.621185385449735,2.529971455460688,1.0912139299890469,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_basis_projective
adapter_basis,Adapter-basis SSR,adapter output basis,8417,79.89184946284342,79.61958549774697,-0.2722639650964567,2.716136158347909,3.088375918745639,-0.3722397603977301,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_basis_projective
adapter_basis,Adapter-basis SSR,adapter output basis,8419,79.19356438514342,80.17404697601094,0.9804825908675241,3.556821043609751,2.564621619288937,0.9921994243208143,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_basis_projective
adapter_basis,Adapter-basis SSR,adapter output basis,8421,79.45936307262211,79.88699323406402,0.4276301614419111,3.198378488250798,2.6397931489430597,0.5585853393077382,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_basis_projective
adapter_basis,Adapter-basis SSR,adapter output basis,8423,79.3903371677928,80.30348307122621,0.9131459034334171,3.3339772018311145,2.348149717191432,0.9858274846396826,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_basis_projective
adapter_basis,Adapter-basis SSR,adapter output basis,8425,79.3298013775408,79.8593273582575,0.5295259807166985,3.076270534328281,2.8647966654347163,0.21147386889356445,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_basis_projective
adapter_basis,Adapter-basis SSR,adapter output basis,8427,80.05860870599136,79.50478812509742,-0.5538205808939409,2.7129253601206726,3.302918856879474,-0.5899934967588014,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_basis_projective
adapter_basis,Adapter-basis SSR,adapter output basis,8429,79.10256155300384,79.51034164614178,0.4077800931379443,3.3004699188076665,3.1143216010157917,0.1861483177918748,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_basis_projective
joint,Joint SSR,classifier prototypes and adapter output basis,8411,79.02245177653677,80.03323053660726,1.0107787600704938,3.45856522566795,2.5058168453002203,0.9527483803677299,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_object_aware
joint,Joint SSR,classifier prototypes and adapter output basis,8413,79.72979108729795,79.82430603251032,0.09451494521236725,3.0940915003958795,2.567623879166124,0.5264676212297554,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_object_aware
joint,Joint SSR,classifier prototypes and adapter output basis,8415,79.26635568601128,80.38839616645558,1.1220404804442978,3.621185385449735,2.052786173505251,1.568399211944484,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_object_aware
joint,Joint SSR,classifier prototypes and adapter output basis,8417,79.89184946284342,80.00041950800916,0.10857004516573454,2.716136158347909,2.722237957213785,-0.006101798865875807,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_object_aware
joint,Joint SSR,classifier prototypes and adapter output basis,8419,79.19356438514342,80.43116242762562,1.2375980424822046,3.556821043609751,2.386110966884913,1.1707100767248382,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_object_aware
joint,Joint SSR,classifier prototypes and adapter output basis,8421,79.45936307262211,80.14478918656958,0.6854261139474715,3.198378488250798,2.2373842485839472,0.9609942396668507,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_object_aware
joint,Joint SSR,classifier prototypes and adapter output basis,8423,79.3903371677928,80.12923384985262,0.7388966820598313,3.3339772018311145,2.3709934553295158,0.9629837465015987,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_object_aware
joint,Joint SSR,classifier prototypes and adapter output basis,8425,79.3298013775408,80.33512541736823,1.0053240398274284,3.076270534328281,2.3944386841076177,0.6818318502206631,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_object_aware
joint,Joint SSR,classifier prototypes and adapter output basis,8427,80.05860870599136,80.18237407154567,0.12376536555430562,2.7129253601206726,2.535660939940483,0.17726442018018984,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_object_aware
joint,Joint SSR,classifier prototypes and adapter output basis,8429,79.10256155300384,80.3440314775459,1.2414699245420593,3.3004699188076665,2.343713228434232,0.9567566903734344,CUB-200-2011,16,40,fixed KD + LowRank,Gaussian,gaussian_object_aware
