figure,panel,point_id,plot_group,task,dataset,model,method_control,method_treatment,external_method,attribution_class,rank,mapping,n,seed_ids,primary_metric,control_mean,treatment_mean,paired_change,ci_low,ci_high,development_or_confirmation,source_file,source_key,source_sha256,main_or_supp,reason_for_inclusion,selection_used_treatment_outcome
5,b,adapter_b_gaussian_object_aware_r16_aa_gain_pp,joint,continual low-rank adaptation,CUB-200-2011,frozen ResNet-18 features + GELU adapter,KD+LowRank,KD+LowRank+SSR,,nested SSR attribution,16,target-specific,10,8411;8413;8415;8417;8419;8421;8423;8425;8427;8429,aa_gain_pp,,,0.7368384399306194,0.40073670604413486,1.0729401738171038,locked confirmation,source_data/figure_panels/fig6_adapter_summary.csv,rank=16;condition=gaussian_object_aware;metric=aa_gain_pp,8b942d90b071636546f80aa90b072944a49e19e51b1096f09a1097b432f658d3,main,complete prespecified target/rank comparison,no
5,b,adapter_b_gaussian_object_aware_r16_af_reduction_pp,joint,continual low-rank adaptation,CUB-200-2011,frozen ResNet-18 features + GELU adapter,KD+LowRank,KD+LowRank+SSR,,nested SSR attribution,16,target-specific,10,8411;8413;8415;8417;8419;8421;8423;8425;8427;8429,af_reduction_pp,,,0.7952054438343669,0.46184909212785535,1.1285617955408784,locked confirmation,source_data/figure_panels/fig6_adapter_summary.csv,rank=16;condition=gaussian_object_aware;metric=af_reduction_pp,8b942d90b071636546f80aa90b072944a49e19e51b1096f09a1097b432f658d3,main,complete prespecified target/rank comparison,no
5,b,adapter_b_gaussian_prototype_only_r16_aa_gain_pp,prototype only,continual low-rank adaptation,CUB-200-2011,frozen ResNet-18 features + GELU adapter,KD+LowRank,KD+LowRank+SSR,,nested SSR attribution,16,target-specific,10,8411;8413;8415;8417;8419;8421;8423;8425;8427;8429,aa_gain_pp,,,0.2984759186912598,-0.033505747638769734,0.6304575850212892,locked confirmation,source_data/figure_panels/fig6_adapter_summary.csv,rank=16;condition=gaussian_prototype_only;metric=aa_gain_pp,8b942d90b071636546f80aa90b072944a49e19e51b1096f09a1097b432f658d3,main,complete prespecified target/rank comparison,no
5,b,adapter_b_gaussian_prototype_only_r16_af_reduction_pp,prototype only,continual low-rank adaptation,CUB-200-2011,frozen ResNet-18 features + GELU adapter,KD+LowRank,KD+LowRank+SSR,,nested SSR attribution,16,target-specific,10,8411;8413;8415;8417;8419;8421;8423;8425;8427;8429,af_reduction_pp,,,0.19104194022066096,-0.15260795110708308,0.534691831548405,locked confirmation,source_data/figure_panels/fig6_adapter_summary.csv,rank=16;condition=gaussian_prototype_only;metric=af_reduction_pp,8b942d90b071636546f80aa90b072944a49e19e51b1096f09a1097b432f658d3,main,complete prespecified target/rank comparison,no
5,c,adapter_c_gaussian_all_cosine_r32_aa_gain_pp,shared cosine,continual low-rank adaptation,CUB-200-2011,frozen ResNet-18 features + GELU adapter,KD+LowRank,KD+LowRank+SSR,,nested SSR attribution,32,shared cosine,5,8411;8415;8421;8423;8425,aa_gain_pp,,,1.6918226634033318,1.5563164947087151,1.8273288320979484,locked confirmation,source_data/figure_panels/fig6_adapter_summary.csv,rank=32;condition=gaussian_all_cosine;metric=aa_gain_pp,90e025642a45dd1799da187f7b8aa91f399d3fd8b1456bbda676aeee5a7f46b2,main,complete prespecified target/rank comparison,no
5,e,adapter_e_gaussian_all_cosine_r32_aa_gain_pp,rank budget,continual low-rank adaptation,CUB-200-2011,frozen ResNet-18 features + GELU adapter,KD+LowRank,KD+LowRank+SSR,,nested SSR attribution,32,shared cosine,5,8411;8415;8421;8423;8425,aa_gain_pp,,,1.6918226634033318,1.5563164947087151,1.8273288320979484,locked confirmation,source_data/figure_panels/fig6_adapter_summary.csv,rank=32;condition=gaussian_all_cosine;metric=aa_gain_pp,90e025642a45dd1799da187f7b8aa91f399d3fd8b1456bbda676aeee5a7f46b2,main,complete rank-budget comparison,no
5,c,adapter_c_gaussian_all_cosine_r32_af_reduction_pp,shared cosine,continual low-rank adaptation,CUB-200-2011,frozen ResNet-18 features + GELU adapter,KD+LowRank,KD+LowRank+SSR,,nested SSR attribution,32,shared cosine,5,8411;8415;8421;8423;8425,af_reduction_pp,,,1.4041239036031778,0.9983438255503703,1.8099039816559854,locked confirmation,source_data/figure_panels/fig6_adapter_summary.csv,rank=32;condition=gaussian_all_cosine;metric=af_reduction_pp,90e025642a45dd1799da187f7b8aa91f399d3fd8b1456bbda676aeee5a7f46b2,main,complete prespecified target/rank comparison,no
5,e,adapter_e_gaussian_all_cosine_r32_af_reduction_pp,rank budget,continual low-rank adaptation,CUB-200-2011,frozen ResNet-18 features + GELU adapter,KD+LowRank,KD+LowRank+SSR,,nested SSR attribution,32,shared cosine,5,8411;8415;8421;8423;8425,af_reduction_pp,,,1.4041239036031778,0.9983438255503703,1.8099039816559854,locked confirmation,source_data/figure_panels/fig6_adapter_summary.csv,rank=32;condition=gaussian_all_cosine;metric=af_reduction_pp,90e025642a45dd1799da187f7b8aa91f399d3fd8b1456bbda676aeee5a7f46b2,main,complete rank-budget comparison,no
5,d,adapter_r32_control_control_aa,KD+LowRank,continual low-rank adaptation,CUB-200-2011,frozen ResNet-18 features + GELU adapter,KD+LowRank,KD+LowRank,,absolute matched-cohort coordinate,32,shared cosine,5,8411;8415;8421;8423;8425,AA (%),,,78.63769351291697,78.32199033406332,78.95339669177062,locked confirmation,source_data/figure_panels/fig6_adapter_seed_level.csv,rank=32;condition=gaussian_all_cosine;control_aa,71e1b6d2cd2664b0ee36dde26d7a2fe46792cede46c961bd3930a41ad7839123,main,aggregate absolute coordinate for the displayed n=5 cohort,no
5,d,adapter_r32_control_control_af,KD+LowRank,continual low-rank adaptation,CUB-200-2011,frozen ResNet-18 features + GELU adapter,KD+LowRank,KD+LowRank,,absolute matched-cohort coordinate,32,shared cosine,5,8411;8415;8421;8423;8425,AF (%),,,3.623912659921074,3.295793411895494,3.952031907946654,locked confirmation,source_data/figure_panels/fig6_adapter_seed_level.csv,rank=32;condition=gaussian_all_cosine;control_af,71e1b6d2cd2664b0ee36dde26d7a2fe46792cede46c961bd3930a41ad7839123,main,aggregate absolute coordinate for the displayed n=5 cohort,no
