figure,panel,point_id,plot_group,task,dataset,model,method_control,method_treatment,external_method,attribution_class,rank,mapping,n,seed_ids,primary_metric,control_mean,treatment_mean,paired_change,ci_low,ci_high,development_or_confirmation,source_file,source_key,source_sha256,main_or_supp,reason_for_inclusion,selection_used_treatment_outcome
4,a,ke_ssr_mechanism,conceptual mechanism,sequential knowledge editing,not applicable,not applicable,editable update,SSR-organized editable directions,,conceptual translation,,cosine and projective,,,not applicable,,,,,,conceptual panel,main.tex,SSR definition and low-rank parameterization,991b483576addfd74c4a3d7892d42493dad56f4976cf0dd73e8c7070f84042df,main,mechanistic bridge from dendritic to edit-space neighborhoods,no
4,b,ke_direct_cosine_efficacy,direct paired endpoint,sequential knowledge editing,WikiData Counterfact,GPT-2 XL,Plain FT,Plain FT+SSR,,direct SSR attribution,,cosine,10,9311;9313;9315;9317;9319;9321;9323;9325;9327;9329,final-history efficacy (%),10.0,12.4,2.4,0.0587918009549826,4.741208199045017,locked confirmation,source_data/raw/knowledge_editing/meeting_extension_cf/plain/seed_9311/results.json,historical_retention.final paired across local raw arm directories,5ee48987077f640b150e426379c852d0ba73713d58d5f0481ebbe0568682a4a2,main,all ten paired seeds at the final prespecified endpoint,no
4,b,ke_direct_cosine_locality,direct paired endpoint,sequential knowledge editing,WikiData Counterfact,GPT-2 XL,Plain FT,Plain FT+SSR,,direct SSR attribution,,cosine,10,9311;9313;9315;9317;9319;9321;9323;9325;9327;9329,final-history locality (%),6.9373222447487155,7.388990339725633,0.4516680949769185,-1.6065483179392062,2.509884507893043,locked confirmation,source_data/raw/knowledge_editing/meeting_extension_cf/plain/seed_9311/results.json,historical_retention.final paired across local raw arm directories,5ee48987077f640b150e426379c852d0ba73713d58d5f0481ebbe0568682a4a2,main,all ten paired seeds at the final prespecified endpoint,no
4,c,ke_mapping_final_history_efficacy,controlled mapping confirmation,sequential knowledge editing,WikiData Counterfact,GPT-2 XL,cosine SSR,projective SSR,,mapping comparison,,cosine versus projective,10,15101;15102;15103;15104;15105;15106;15107;15108;15109;15110,final history efficacy (%),10.2,10.2,0.0,0.0,0.0,independent confirmation,source_data/cosmos_ke_completion_20260901/confirmation_summary.json,comparisons/counterfact_projective_minus_cosine/metrics/final_history_efficacy,6924c25594acb3d2222155e61b620032c7396e1690333a5ec5f8bbd3aee7c593,main,controlled test differs only in distance mapping,no
4,c,ke_mapping_final_history_locality,controlled mapping confirmation,sequential knowledge editing,WikiData Counterfact,GPT-2 XL,cosine SSR,projective SSR,,mapping comparison,,cosine versus projective,10,15101;15102;15103;15104;15105;15106;15107;15108;15109;15110,final history locality (%),11.177784674475845,11.177784674475845,0.0,0.0,0.0,independent confirmation,source_data/cosmos_ke_completion_20260901/confirmation_summary.json,comparisons/counterfact_projective_minus_cosine/metrics/final_history_locality,6924c25594acb3d2222155e61b620032c7396e1690333a5ec5f8bbd3aee7c593,main,controlled test differs only in distance mapping,no
4,c,ke_kernel_gaussian,radial-family development screen,sequential knowledge editing,WikiData Counterfact,GPT-2 XL,Plain FT,gaussian SSR,gaussian,development-only kernel screen,,radial family,3,15001;15002;15003,final-history efficacy/locality change (pp),-3.333333333333334,1.0042270637858834,,,,development only,source_data/cosmos_ke_completion_20260901/development_selection.json,gaussian,e31c2831561f951f50a8f64ca4c5ea58637c05060a7e474d606944614be036a7,main,complete four-family controlled development screen,yes; Cauchy selected by prespecified lexicographic rule
4,c,ke_kernel_laplace,radial-family development screen,sequential knowledge editing,WikiData Counterfact,GPT-2 XL,Plain FT,laplace SSR,laplace,development-only kernel screen,,radial family,3,15001;15002;15003,final-history efficacy/locality change (pp),-4.666666666666667,1.070438820438819,,,,development only,source_data/cosmos_ke_completion_20260901/development_selection.json,laplace,e31c2831561f951f50a8f64ca4c5ea58637c05060a7e474d606944614be036a7,main,complete four-family controlled development screen,yes; Cauchy selected by prespecified lexicographic rule
4,c,ke_kernel_cauchy,radial-family development screen,sequential knowledge editing,WikiData Counterfact,GPT-2 XL,Plain FT,cauchy SSR,cauchy,development-only kernel screen,,radial family,3,15001;15002;15003,final-history efficacy/locality change (pp),-1.3333333333333333,3.2934454434454437,,,,development only,source_data/cosmos_ke_completion_20260901/development_selection.json,cauchy,e31c2831561f951f50a8f64ca4c5ea58637c05060a7e474d606944614be036a7,main,complete four-family controlled development screen,yes; Cauchy selected by prespecified lexicographic rule
4,c,ke_kernel_inverse,radial-family development screen,sequential knowledge editing,WikiData Counterfact,GPT-2 XL,Plain FT,inverse SSR,inverse,development-only kernel screen,,radial family,3,15001;15002;15003,final-history efficacy/locality change (pp),-1.6666666666666667,1.3116593101887197,,,,development only,source_data/cosmos_ke_completion_20260901/development_selection.json,inverse,e31c2831561f951f50a8f64ca4c5ea58637c05060a7e474d606944614be036a7,main,complete four-family controlled development screen,yes; Cauchy selected by prespecified lexicographic rule
4,f,ke_objective_plain_ft,six-recipe objective plane,sequential knowledge editing,WikiData Counterfact,GPT-2 XL,Plain FT,Plain FT,,factorial objective context,,not applicable,10,9311;9313;9315;9317;9319;9321;9323;9325;9327;9329,absolute final-history efficacy/locality (%),10.0,6.94,,,,locked factorial confirmation,figure_source_data/Fig4c_counterfact_plane.csv,Plain FT,85e366634d8c0944544df8820798530459fd6ea321144dcdac00889db1f4c39d,main,complete six-recipe component context,no
