figure,panel,point_id,plot_group,task,dataset,model,method_control,method_treatment,external_method,attribution_class,rank,mapping,n,seed_ids,primary_metric,control_mean,treatment_mean,paired_change,ci_low,ci_high,development_or_confirmation,source_file,source_key,source_sha256,main_or_supp,reason_for_inclusion,selection_used_treatment_outcome
6,a,cub_taxonomy_center_component_delta_aa,center-only,continual classification,CUB-200-2011,frozen ResNet-18 classifier,KD,KD+center-only,center-only,independent matched geometry-family comparison,,family-specific frozen setting,20,9401;9403;9405;9407;9409;9411;9413;9415;9417;9419;9421;9423;9425;9427;9429;9431;9433;9435;9437;9439,delta_aa,,,0.02381482479908641,-0.01359333137323784,0.06122298097141066,independent frozen evaluation,source_data/figure_panels/fig4_cub_taxonomy_summary.csv,family=center_component;metric=delta_aa,827b97d0b5f292c05c32718431fb38be0e4b3796ec2f651686f3d2f756b47a99,main,equal-budget comparison on all 20 independent taxonomy seeds,no; selection used disjoint development seeds
6,a,cub_taxonomy_center_component_forgetting_reduction,center-only,continual classification,CUB-200-2011,frozen ResNet-18 classifier,KD,KD+center-only,center-only,independent matched geometry-family comparison,,family-specific frozen setting,20,9401;9403;9405;9407;9409;9411;9413;9415;9417;9419;9421;9423;9425;9427;9429;9431;9433;9435;9437;9439,forgetting_reduction,,,0.039485011223065226,0.001261315644003759,0.07770870680212669,independent frozen evaluation,source_data/figure_panels/fig4_cub_taxonomy_summary.csv,family=center_component;metric=forgetting_reduction,827b97d0b5f292c05c32718431fb38be0e4b3796ec2f651686f3d2f756b47a99,main,equal-budget comparison on all 20 independent taxonomy seeds,no; selection used disjoint development seeds
6,a,cub_taxonomy_cosine_orthogonality_delta_aa,cosine orthogonality,continual classification,CUB-200-2011,frozen ResNet-18 classifier,KD,KD+cosine orthogonality,cosine orthogonality,independent matched geometry-family comparison,,family-specific frozen setting,20,9401;9403;9405;9407;9409;9411;9413;9415;9417;9419;9421;9423;9425;9427;9429;9431;9433;9435;9437;9439,delta_aa,,,-0.04692887096724263,-0.11298615828286539,0.019128416348380126,independent frozen evaluation,source_data/figure_panels/fig4_cub_taxonomy_summary.csv,family=cosine_orthogonality;metric=delta_aa,827b97d0b5f292c05c32718431fb38be0e4b3796ec2f651686f3d2f756b47a99,main,equal-budget comparison on all 20 independent taxonomy seeds,no; selection used disjoint development seeds
6,a,cub_taxonomy_cosine_orthogonality_forgetting_reduction,cosine orthogonality,continual classification,CUB-200-2011,frozen ResNet-18 classifier,KD,KD+cosine orthogonality,cosine orthogonality,independent matched geometry-family comparison,,family-specific frozen setting,20,9401;9403;9405;9407;9409;9411;9413;9415;9417;9419;9421;9423;9425;9427;9429;9431;9433;9435;9437;9439,forgetting_reduction,,,-0.013916743922018582,-0.0864530869885126,0.05861959914447544,independent frozen evaluation,source_data/figure_panels/fig4_cub_taxonomy_summary.csv,family=cosine_orthogonality;metric=forgetting_reduction,827b97d0b5f292c05c32718431fb38be0e4b3796ec2f651686f3d2f756b47a99,main,equal-budget comparison on all 20 independent taxonomy seeds,no; selection used disjoint development seeds
6,a,cub_taxonomy_prototype_decorrelation_delta_aa,prototype decorrelation,continual classification,CUB-200-2011,frozen ResNet-18 classifier,KD,KD+prototype decorrelation,prototype decorrelation,independent matched geometry-family comparison,,family-specific frozen setting,20,9401;9403;9405;9407;9409;9411;9413;9415;9417;9419;9421;9423;9425;9427;9429;9431;9433;9435;9437;9439,delta_aa,,,-0.03674209879174484,-0.09215790661050315,0.01867370902701347,independent frozen evaluation,source_data/figure_panels/fig4_cub_taxonomy_summary.csv,family=prototype_decorrelation;metric=delta_aa,827b97d0b5f292c05c32718431fb38be0e4b3796ec2f651686f3d2f756b47a99,main,equal-budget comparison on all 20 independent taxonomy seeds,no; selection used disjoint development seeds
6,a,cub_taxonomy_prototype_decorrelation_forgetting_reduction,prototype decorrelation,continual classification,CUB-200-2011,frozen ResNet-18 classifier,KD,KD+prototype decorrelation,prototype decorrelation,independent matched geometry-family comparison,,family-specific frozen setting,20,9401;9403;9405;9407;9409;9411;9413;9415;9417;9419;9421;9423;9425;9427;9429;9431;9433;9435;9437;9439,forgetting_reduction,,,-0.013449525179168286,-0.07712289162319697,0.050223841264860396,independent frozen evaluation,source_data/figure_panels/fig4_cub_taxonomy_summary.csv,family=prototype_decorrelation;metric=forgetting_reduction,827b97d0b5f292c05c32718431fb38be0e4b3796ec2f651686f3d2f756b47a99,main,equal-budget comparison on all 20 independent taxonomy seeds,no; selection used disjoint development seeds
6,a,cub_taxonomy_spectral_delta_aa,spectral flattening,continual classification,CUB-200-2011,frozen ResNet-18 classifier,KD,KD+spectral flattening,spectral flattening,independent matched geometry-family comparison,,family-specific frozen setting,20,9401;9403;9405;9407;9409;9411;9413;9415;9417;9419;9421;9423;9425;9427;9429;9431;9433;9435;9437;9439,delta_aa,,,0.003657479487699078,-0.007856000891320127,0.015170959866718285,independent frozen evaluation,source_data/figure_panels/fig4_cub_taxonomy_summary.csv,family=spectral;metric=delta_aa,827b97d0b5f292c05c32718431fb38be0e4b3796ec2f651686f3d2f756b47a99,main,equal-budget comparison on all 20 independent taxonomy seeds,no; selection used disjoint development seeds
6,a,cub_taxonomy_spectral_forgetting_reduction,spectral flattening,continual classification,CUB-200-2011,frozen ResNet-18 classifier,KD,KD+spectral flattening,spectral flattening,independent matched geometry-family comparison,,family-specific frozen setting,20,9401;9403;9405;9407;9409;9411;9413;9415;9417;9419;9421;9423;9425;9427;9429;9431;9433;9435;9437;9439,forgetting_reduction,,,0.006558466229701998,-0.0046383586352718754,0.01775529109467587,independent frozen evaluation,source_data/figure_panels/fig4_cub_taxonomy_summary.csv,family=spectral;metric=forgetting_reduction,827b97d0b5f292c05c32718431fb38be0e4b3796ec2f651686f3d2f756b47a99,main,equal-budget comparison on all 20 independent taxonomy seeds,no; selection used disjoint development seeds
6,a,cub_taxonomy_ssr_delta_aa,SSR,continual classification,CUB-200-2011,frozen ResNet-18 classifier,KD,KD+SSR,,independent matched geometry-family comparison,,family-specific frozen setting,20,9401;9403;9405;9407;9409;9411;9413;9415;9417;9419;9421;9423;9425;9427;9429;9431;9433;9435;9437;9439,delta_aa,,,0.04233769166390289,0.0004369945526596433,0.08423838877514614,independent frozen evaluation,source_data/figure_panels/fig4_cub_taxonomy_summary.csv,family=ssr;metric=delta_aa,827b97d0b5f292c05c32718431fb38be0e4b3796ec2f651686f3d2f756b47a99,main,equal-budget comparison on all 20 independent taxonomy seeds,no; selection used disjoint development seeds
6,b,cub_taxonomy_ssr_seed_summary_delta_aa,SSR,continual classification,CUB-200-2011,frozen ResNet-18 classifier,KD,KD+SSR,,independent matched geometry-family comparison,,frozen SSR setting,20,9401;9403;9405;9407;9409;9411;9413;9415;9417;9419;9421;9423;9425;9427;9429;9431;9433;9435;9437;9439,delta_aa,,,0.04233769166390289,0.0004369945526596433,0.08423838877514614,independent frozen evaluation,source_data/figure_panels/fig4_cub_taxonomy_summary.csv,family=ssr;metric=delta_aa,827b97d0b5f292c05c32718431fb38be0e4b3796ec2f651686f3d2f756b47a99,main,summary interval for the raw SSR seed distribution,no; selection used disjoint development seeds
