dataset,rank,seed,edits,metric,unit,baseline,ssr,delta
WikiRecent,32,17640,2,immediate_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17631,2,immediate_locality_target_consistency,percent,5.555555555555555,5.555555555555555,0.0
WikiRecent,32,17633,2,immediate_locality_target_consistency,percent,25.0,25.0,0.0
WikiRecent,32,17637,2,immediate_locality_target_consistency,percent,3.8461538461538463,3.8461538461538463,0.0
WikiRecent,32,17638,2,immediate_locality_target_consistency,percent,12.5,29.166666666666664,16.666666666666664
WikiRecent,32,17640,2,immediate_locality_target_consistency,percent,16.666666666666664,25.0,8.333333333333336
WikiRecent,32,17631,2,history_efficacy,percent,50.0,50.0,0.0
WikiRecent,32,17633,2,history_efficacy,percent,50.0,50.0,0.0
WikiRecent,32,17637,2,history_efficacy,percent,50.0,50.0,0.0
WikiRecent,32,17638,2,history_efficacy,percent,0.0,50.0,50.0
WikiRecent,32,17640,2,history_efficacy,percent,50.0,50.0,0.0
WikiRecent,32,17631,2,pre_edit_output_consistency,percent,39.18228764086962,39.272850938141346,0.09056329727172852
WikiRecent,32,17633,2,pre_edit_output_consistency,percent,34.89234931766987,34.91922952234745,0.026880204677581787
WikiRecent,32,17637,2,pre_edit_output_consistency,percent,36.38343568891287,36.4443676546216,0.060931965708732605
WikiRecent,32,17638,2,pre_edit_output_consistency,percent,39.47177343070507,39.314886182546616,-0.1568872481584549
WikiRecent,32,17640,2,pre_edit_output_consistency,percent,33.82552582770586,34.718143567442894,0.8926177397370338
WikiRecent,32,17631,2,center_surround_contrast,dimensionless,0.0039022127722481465,0.044240439626654346,0.040338226854406196
WikiRecent,32,17633,2,center_surround_contrast,dimensionless,-0.0020240879114550936,0.03908571604032269,0.04110980395177778
WikiRecent,32,17637,2,center_surround_contrast,dimensionless,-0.007745018827595881,0.03829644963427979,0.04604146846187567
WikiRecent,32,17638,2,center_surround_contrast,dimensionless,-0.005527204341238498,0.03791793410034318,0.043445138441581675
WikiRecent,32,17640,2,center_surround_contrast,dimensionless,-0.007065243521148139,0.039490110378080444,0.04655535389922858
WikiRecent,32,17631,2,kernel_alignment,dimensionless,0.003004986109902218,0.07087076598171343,0.06786577987181122
WikiRecent,32,17633,2,kernel_alignment,dimensionless,0.0012278624375799802,0.07209090562589283,0.07086304318831285
WikiRecent,32,17637,2,kernel_alignment,dimensionless,-0.007542632913945064,0.07007472182989918,0.07761735474384425
WikiRecent,32,17638,2,kernel_alignment,dimensionless,-0.008438143783353422,0.06857042805391497,0.07700857183726839
WikiRecent,32,17640,2,kernel_alignment,dimensionless,-0.008592623181617194,0.07098832391576643,0.07958094709738361
WikiRecent,32,17631,2,effective_rank,dimensionless,20.842565987791332,20.770436972379684,-0.0721290154116474
WikiRecent,32,17633,2,effective_rank,dimensionless,21.813032967703684,21.75442606636456,-0.05860690133912527
WikiRecent,32,17637,2,effective_rank,dimensionless,21.4335612143789,21.065471466098515,-0.36808974828038643
WikiRecent,32,17638,2,effective_rank,dimensionless,21.7684976543699,21.606782432113373,-0.16171522225652524
WikiRecent,32,17640,2,effective_rank,dimensionless,20.581155304397853,20.999876618385315,0.4187213139874615
WikiRecent,32,17631,2,effective_rank_fraction,dimensionless,0.6513301871184791,0.6490761553868651,-0.0022540317316139813
WikiRecent,32,17633,2,effective_rank_fraction,dimensionless,0.6816572802407401,0.6798258145738925,-0.0018314656668476648
WikiRecent,32,17637,2,effective_rank_fraction,dimensionless,0.6697987879493407,0.6582959833155786,-0.011502804633762076
WikiRecent,32,17638,2,effective_rank_fraction,dimensionless,0.6802655516990593,0.6752119510035429,-0.005053600695516414
WikiRecent,32,17640,2,effective_rank_fraction,dimensionless,0.6431611032624329,0.6562461443245411,0.013085041062108171
WikiRecent,32,17631,2,near_row_cosine,dimensionless,0.0012549351158668287,0.037376434895642366,0.03612149977977554
WikiRecent,32,17633,2,near_row_cosine,dimensionless,0.001131438400339643,0.037954585954659184,0.03682314755431954
WikiRecent,32,17637,2,near_row_cosine,dimensionless,-0.002966757327937687,0.03343720274278894,0.036403960070726625
WikiRecent,32,17638,2,near_row_cosine,dimensionless,-0.003788615438159988,0.034561138529430276,0.038349753967590265
WikiRecent,32,17640,2,near_row_cosine,dimensionless,-0.0036309664316961842,0.03467381493464927,0.03830478136634546
WikiRecent,32,17631,2,surround_row_cosine,dimensionless,-0.002647277662617853,-0.006864004737248511,-0.004216727074630658
WikiRecent,32,17633,2,surround_row_cosine,dimensionless,0.0031555264002755784,-0.001131129841009429,-0.004286656241285007
WikiRecent,32,17637,2,surround_row_cosine,dimensionless,0.004778261672722043,-0.00485924673687675,-0.009637508409598792
WikiRecent,32,17638,2,surround_row_cosine,dimensionless,0.0017385889758380862,-0.00335679522634434,-0.005095384202182427
WikiRecent,32,17640,2,surround_row_cosine,dimensionless,0.003434277083994987,-0.004816295409974762,-0.00825057249396975
WikiRecent,32,17631,5,immediate_efficacy,percent,80.0,60.0,-20.0
WikiRecent,32,17633,5,immediate_efficacy,percent,80.0,80.0,0.0
WikiRecent,32,17637,5,immediate_efficacy,percent,100.0,80.0,-20.0
WikiRecent,32,17638,5,immediate_efficacy,percent,60.0,60.0,0.0
WikiRecent,32,17640,5,immediate_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17631,5,immediate_locality_target_consistency,percent,7.222222222222221,7.222222222222221,0.0
WikiRecent,32,17633,5,immediate_locality_target_consistency,percent,10.0,10.0,0.0
WikiRecent,32,17637,5,immediate_locality_target_consistency,percent,9.538461538461538,9.538461538461538,0.0
WikiRecent,32,17638,5,immediate_locality_target_consistency,percent,12.333333333333334,19.0,6.666666666666666
WikiRecent,32,17640,5,immediate_locality_target_consistency,percent,6.666666666666667,13.999999999999998,7.333333333333331
WikiRecent,32,17631,5,history_efficacy,percent,20.0,20.0,0.0
WikiRecent,32,17633,5,history_efficacy,percent,20.0,20.0,0.0
WikiRecent,32,17637,5,history_efficacy,percent,20.0,20.0,0.0
WikiRecent,32,17638,5,history_efficacy,percent,0.0,0.0,0.0
WikiRecent,32,17640,5,history_efficacy,percent,20.0,20.0,0.0
WikiRecent,32,17631,5,pre_edit_output_consistency,percent,37.594710662961006,37.594704143702984,-6.51925802230835e-06
WikiRecent,32,17633,5,pre_edit_output_consistency,percent,36.01370342075825,35.78740283846855,-0.22630058228969574
WikiRecent,32,17637,5,pre_edit_output_consistency,percent,37.40267865359783,37.40301467478275,0.00033602118492126465
WikiRecent,32,17638,5,pre_edit_output_consistency,percent,39.32499419897795,38.89378979802132,-0.4312044009566307
WikiRecent,32,17640,5,pre_edit_output_consistency,percent,33.82560033351183,33.82552582770586,-7.450580596923828e-05
WikiRecent,32,17631,5,center_surround_contrast,dimensionless,-0.0023360846930050422,0.08717002190782555,0.0895061066008306
WikiRecent,32,17633,5,center_surround_contrast,dimensionless,-0.0058129763653726385,0.07931717646092043,0.08513015282629306
WikiRecent,32,17637,5,center_surround_contrast,dimensionless,-0.006088854580411862,0.08269987099005707,0.08878872557046893
WikiRecent,32,17638,5,center_surround_contrast,dimensionless,-0.007185010904712337,0.07934359318044569,0.08652860408515803
WikiRecent,32,17640,5,center_surround_contrast,dimensionless,-0.0006147128879092634,0.08108454799678709,0.08169926088469635
WikiRecent,32,17631,5,kernel_alignment,dimensionless,-0.0014712973625137238,0.16684569822557802,0.16831699558809174
WikiRecent,32,17633,5,kernel_alignment,dimensionless,-0.0037160405924753703,0.15535359434683674,0.15906963493931212
WikiRecent,32,17637,5,kernel_alignment,dimensionless,-0.005003181385680884,0.16471421849980417,0.16971739988548504
WikiRecent,32,17638,5,kernel_alignment,dimensionless,-0.008683333811209844,0.14887848113929586,0.1575618149505057
WikiRecent,32,17640,5,kernel_alignment,dimensionless,0.0005669497394527362,0.15677746257279068,0.15621051283333795
WikiRecent,32,17631,5,effective_rank,dimensionless,20.81887850165367,20.966503213558877,0.14762471190520543
WikiRecent,32,17633,5,effective_rank,dimensionless,20.84137806722096,21.241045956100738,0.39966788887977955
WikiRecent,32,17637,5,effective_rank,dimensionless,21.491644740104675,21.224762414182937,-0.26688232592173833
WikiRecent,32,17638,5,effective_rank,dimensionless,22.20324169737952,20.62885546684265,-1.57438623053687
WikiRecent,32,17640,5,effective_rank,dimensionless,20.406764958586013,21.068346798419952,0.6615818398339393
WikiRecent,32,17631,5,effective_rank_fraction,dimensionless,0.6505899531766772,0.6552032254237149,0.00461327224703767
WikiRecent,32,17633,5,effective_rank_fraction,dimensionless,0.651293064600655,0.6637826861281481,0.012489621527493111
