method,seed,coefficient,avg_accuracy,avg_forgetting,result_file
ewc,17331,100000.0,91.84992890657416,0.8697101484685711,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/ewc/coefficient_100000p0/seed_17331/result.json
ewc,17333,100000.0,89.1769094315504,2.636150246336175,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/ewc/coefficient_100000p0/seed_17333/result.json
ewc,17335,100000.0,92.06995306897156,0.7251521903482713,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/ewc/coefficient_100000p0/seed_17335/result.json
ewc,17337,100000.0,91.4601665454921,0.7433346766447649,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/ewc/coefficient_100000p0/seed_17337/result.json
ewc,17339,100000.0,91.43430662113664,0.8180868804991085,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/ewc/coefficient_100000p0/seed_17339/result.json
ewc,17341,100000.0,91.74765187074179,1.5573685772925665,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/ewc/coefficient_100000p0/seed_17341/result.json
ewc,17343,100000.0,91.25497886775385,1.0270222829459716,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/ewc/coefficient_100000p0/seed_17343/result.json
ewc,17345,100000.0,91.98772488629636,0.7046653964314163,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/ewc/coefficient_100000p0/seed_17345/result.json
ewc,17347,100000.0,92.4343807829424,0.6608517827676141,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/ewc/coefficient_100000p0/seed_17347/result.json
ewc,17349,100000.0,91.64869742919672,0.6590623379544405,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_fig6_cubreg_full_1node_20260905_r1_cub_lowrank_regularizers/confirmation/ewc/coefficient_100000p0/seed_17349/result.json
