cohort,rank,ssr_lambda,edit_count,metric,baseline_mean,baseline_ci95_low,baseline_ci95_high,ssr_mean,ssr_ci95_low,ssr_ci95_high,delta_mean,delta_ci95_low,delta_ci95_high
rank32_shared_250,32,0.03,250,pre_edit_output_consistency,20.63110003247857,18.618721563369036,22.859841603785753,21.13457713276148,18.700205637607723,23.667140118777752,0.5034771002829075,-1.3090875297784805,2.558936150278894
rank32_shared_250,32,0.03,250,immediate_efficacy,42.28,38.519999999999996,46.519999999999996,49.8,47.08,52.36,7.520000000000001,1.4000000000000028,12.480000000000004
rank32_shared_250,32,0.03,250,immediate_rephrase,32.24,29.440000000000005,34.88,36.36000000000001,33.760000000000005,38.84,4.120000000000001,1.0000000000000013,7.24
rank32_shared_250,32,0.03,250,immediate_portability,9.04,8.120000000000001,9.88,9.6,8.040000000000001,11.280000000000001,0.5600000000000005,-0.5199999999999992,1.7200000000000006
rank32_shared_250,32,0.03,250,immediate_locality_target_consistency,0.5000000000000001,0.18,0.8799999999999999,0.42000000000000004,0.26,0.6,-0.08,-0.34,0.13999999999999999
independent_100,8,0.03,1,history_efficacy,70.0,40.0,100.0,70.0,40.0,100.0,0.0,0.0,0.0
independent_100,8,0.03,1,pre_edit_output_consistency,20.2820042707026,18.586756461299956,21.935388178098947,20.278484504669905,18.524269331246614,21.96146127767861,-0.0035197660326957703,-0.06358244270086288,0.07461855560541152
independent_100,8,0.03,1,immediate_efficacy,70.0,40.0,100.0,70.0,40.0,90.0,0.0,0.0,0.0
independent_100,8,0.03,1,immediate_rephrase,50.0,20.0,80.0,40.0,10.0,70.0,-10.0,-30.0,0.0
independent_100,8,0.03,1,immediate_portability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,8,0.03,1,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,8,0.03,2,history_efficacy,45.0,35.0,50.0,50.0,50.0,50.0,5.0,0.0,15.0
independent_100,8,0.03,2,pre_edit_output_consistency,19.906046222895384,17.99957988737151,21.768835541326553,20.589610021561384,18.355393225792795,22.839634410571307,0.6835637986660004,-0.08899809513241053,1.735114290378987
independent_100,8,0.03,2,immediate_efficacy,80.0,65.0,95.0,85.0,70.0,100.0,5.0,0.0,15.0
independent_100,8,0.03,2,immediate_rephrase,60.0,40.0,80.0,60.0,40.0,80.0,0.0,-15.0,15.0
independent_100,8,0.03,2,immediate_portability,15.0,0.0,30.0,10.0,0.0,25.0,-5.0,-15.0,0.0
independent_100,8,0.03,2,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,8,0.03,5,history_efficacy,20.0,20.0,20.0,18.0,12.0,24.0,-2.0,-8.0,4.0
independent_100,8,0.03,5,pre_edit_output_consistency,20.730455685406923,18.102686358150095,23.498594583943486,21.396470367908478,18.66917770029977,24.19864747673273,0.6660146825015545,-0.06354395765811204,1.7560742609202862
independent_100,8,0.03,5,immediate_efficacy,88.0,82.0,94.0,90.0,84.0,96.0,2.0,-6.0,10.0
independent_100,8,0.03,5,immediate_rephrase,48.0,36.0,60.0,60.0,44.0,76.0,12.0,2.0,22.0
independent_100,8,0.03,5,immediate_portability,14.0,6.0,22.0,10.0,4.0,16.0,-4.0,-10.0,0.0
independent_100,8,0.03,5,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,8,0.03,10,history_efficacy,9.0,7.0,10.0,11.0,10.0,13.0,2.0,0.0,6.0
independent_100,8,0.03,10,pre_edit_output_consistency,18.982114288955927,17.505154305137694,20.295763050206006,19.405662268400192,17.61813396215439,21.233598817605525,0.42354797944426537,-0.03353930916637182,1.2537178159691393
independent_100,8,0.03,10,immediate_efficacy,85.0,76.0,93.0,91.0,87.0,95.0,6.0,-3.0,16.0
independent_100,8,0.03,10,immediate_rephrase,49.0,39.0,58.0,53.0,41.97500000000002,66.0,4.0,-6.0,13.0
independent_100,8,0.03,10,immediate_portability,12.0,8.0,17.0,13.0,8.0,19.0,1.0,-2.0,4.0
independent_100,8,0.03,10,immediate_locality_target_consistency,0.5,0.0,1.5,0.0,0.0,0.0,-0.5,-1.5,0.0
independent_100,8,0.03,25,history_efficacy,2.8,1.6,4.0,3.2,2.0,4.0,0.4,-0.8,1.6
independent_100,8,0.03,25,pre_edit_output_consistency,19.86878726631403,18.403783663176,21.49318670388311,20.651800241321325,18.783978241030127,22.73115166882053,0.7830129750072956,-0.025771496351808306,1.7715793712995946
independent_100,8,0.03,25,immediate_efficacy,79.2,73.6,84.8,86.8,82.0,90.8,7.6,1.6,13.6
independent_100,8,0.03,25,immediate_rephrase,45.6,40.4,50.8,51.2,46.4,56.4,5.6,-1.2000000000000006,12.000000000000004
independent_100,8,0.03,25,immediate_portability,8.0,5.6,10.8,8.0,6.0,10.4,0.0,-2.4,2.0
independent_100,8,0.03,25,immediate_locality_target_consistency,0.6,0.0,1.4,0.4,0.0,1.2,-0.2,-0.6,0.0
independent_100,8,0.03,50,history_efficacy,2.0,1.2,2.8,1.8,1.4,2.0,-0.2,-0.8,0.4
independent_100,8,0.03,50,pre_edit_output_consistency,20.23464871570468,17.946779537945986,22.630153520964086,20.295663680881262,17.811459543183446,23.051981941331174,0.061014965176582336,-0.7746034227311611,1.0381298512220383
independent_100,8,0.03,50,immediate_efficacy,75.4,70.8,80.0,87.8,83.2,91.6,12.4,6.2,19.0
independent_100,8,0.03,50,immediate_rephrase,43.8,39.0,49.0,50.4,44.6,56.4,6.6,-0.5999999999999993,14.2
independent_100,8,0.03,50,immediate_portability,8.4,5.8,11.4,8.8,7.4,10.4,0.4000000000000002,-2.2,3.0
independent_100,8,0.03,50,immediate_locality_target_consistency,0.6,0.0,1.2,0.5,0.0,1.0,-0.1,-0.3,0.0
independent_100,8,0.03,100,history_efficacy,1.09375,0.625,1.5625,1.09375,0.625,1.5625,0.0,-0.625,0.625
independent_100,8,0.03,100,pre_edit_output_consistency,19.50219100341201,18.099582694936544,20.689788522198796,19.793983194977045,18.16586112231016,21.497764400672168,0.2917921915650368,-0.3645903617143631,1.2485683523118496
independent_100,8,0.03,100,immediate_efficacy,69.4,64.7,73.8,81.5,76.9,85.3,12.1,7.4,17.9
independent_100,8,0.03,100,immediate_rephrase,42.3,38.3,45.9,49.0,44.597500000000004,53.80249999999996,6.7,1.2975000000000023,12.5
independent_100,8,0.03,100,immediate_portability,8.6,7.0,10.2,9.2,8.0,10.4,0.5999999999999999,-0.8,2.1
independent_100,8,0.03,100,immediate_locality_target_consistency,0.55,0.15,1.0,0.6,0.2,1.05,0.05,-0.3,0.35
independent_100,16,0.03,1,history_efficacy,90.0,70.0,100.0,90.0,70.0,100.0,0.0,0.0,0.0
independent_100,16,0.03,1,pre_edit_output_consistency,19.685821775346994,18.313235672190785,20.96458186581731,19.75102549418807,18.31443254929036,21.08452711487189,0.0652037188410759,0.0022983797825872902,0.15784307057037944
independent_100,16,0.03,1,immediate_efficacy,90.0,70.0,100.0,90.0,70.0,100.0,0.0,0.0,0.0
independent_100,16,0.03,1,immediate_rephrase,50.0,20.0,80.0,50.0,20.0,80.0,0.0,0.0,0.0
independent_100,16,0.03,1,immediate_portability,10.0,0.0,30.0,10.0,0.0,30.0,0.0,0.0,0.0
independent_100,16,0.03,1,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,16,0.03,2,history_efficacy,50.0,50.0,50.0,45.0,35.0,50.0,-5.0,-15.0,0.0
independent_100,16,0.03,2,pre_edit_output_consistency,20.81363333389163,18.325792919378728,23.516774150542915,20.198734756559134,17.68153217388317,23.25211309548467,-0.6148985773324966,-1.8367670103907585,0.5136117455549536
independent_100,16,0.03,2,immediate_efficacy,95.0,85.0,100.0,90.0,75.0,100.0,-5.0,-15.0,0.0
independent_100,16,0.03,2,immediate_rephrase,60.0,40.0,80.0,60.0,35.0,80.0,0.0,-20.0,20.0
independent_100,16,0.03,2,immediate_portability,10.0,0.0,25.0,15.0,0.0,30.0,5.0,0.0,15.0
independent_100,16,0.03,2,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,16,0.03,5,history_efficacy,20.0,20.0,20.0,16.0,10.0,20.0,-4.0,-10.0,0.0
independent_100,16,0.03,5,pre_edit_output_consistency,21.784333251416683,18.679698658641428,25.130898533388972,20.863550826907158,18.455072010867298,23.78299104049802,-0.9207824245095253,-2.98366047302261,0.28453560546040535
independent_100,16,0.03,5,immediate_efficacy,96.0,90.0,100.0,90.0,84.0,96.0,-6.0,-12.0,0.0
independent_100,16,0.03,5,immediate_rephrase,58.0,46.0,70.0,50.0,40.0,60.0,-8.0,-14.0,-2.0
independent_100,16,0.03,5,immediate_portability,12.0,4.0,22.0,14.0,4.0,24.0,2.0,-4.0,8.0
independent_100,16,0.03,5,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,16,0.03,10,history_efficacy,6.0,3.0,9.0,8.0,5.0,10.0,2.0,-3.0,6.0
independent_100,16,0.03,10,pre_edit_output_consistency,19.279350582510233,17.72054802067578,20.69296156615019,19.566749222576618,17.727381753269583,21.54748136550188,0.28739864006638527,-0.19922064105048776,1.0116685996763408
independent_100,16,0.03,10,immediate_efficacy,85.0,78.0,92.0,82.0,72.0,91.0,-3.0,-16.0,8.0
independent_100,16,0.03,10,immediate_rephrase,53.0,43.0,65.0,49.0,40.0,58.0,-4.0,-16.0,7.0
independent_100,16,0.03,10,immediate_portability,8.0,4.0,13.0,12.0,6.0,18.0,4.0,0.0,8.0
independent_100,16,0.03,10,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_100,16,0.03,25,history_efficacy,2.0,0.8,3.2,1.6,0.4,2.8,-0.4,-1.6,0.8
independent_100,16,0.03,25,pre_edit_output_consistency,20.59747837483883,18.57945518847555,22.818830610252917,20.052311811596155,18.49017519503832,21.436755157075822,-0.5451665632426739,-1.7904405053704977,0.21221986878663293
independent_100,16,0.03,25,immediate_efficacy,76.4,68.8,84.0,76.8,68.8,84.0,0.4000000000000014,-11.199999999999998,8.8
independent_100,16,0.03,25,immediate_rephrase,47.2,42.0,52.8,48.0,42.4,53.6,0.7999999999999993,-6.4,7.6
independent_100,16,0.03,25,immediate_portability,5.2,2.4,8.4,7.6,4.8,11.2,2.4,0.4,4.0
independent_100,16,0.03,25,immediate_locality_target_consistency,0.4,0.0,1.2,0.0,0.0,0.0,-0.4,-1.2,0.0
independent_100,16,0.03,50,history_efficacy,1.2,0.6,1.8,1.4,0.8,2.0,0.2,-0.4,0.8
independent_100,16,0.03,50,pre_edit_output_consistency,21.34065145626664,18.3753227815032,24.480152882169932,19.79466600343585,17.691024721600115,22.01968545699492,-1.5459854528307915,-2.7380464989691973,-0.41497976751998067
independent_100,16,0.03,50,immediate_efficacy,68.8,61.2,77.2,72.6,67.8,77.2,3.8,-5.6,12.6
independent_100,16,0.03,50,immediate_rephrase,44.0,39.2,48.4,44.2,41.0,47.4,0.2,-5.4,5.804999999999927
independent_100,16,0.03,50,immediate_portability,7.4,5.2,9.4,8.2,5.6,10.8,0.8000000000000002,-0.8,2.4000000000000004
independent_100,16,0.03,50,immediate_locality_target_consistency,0.2,0.0,0.6,0.2,0.0,0.6,0.0,-0.6,0.6
independent_100,16,0.03,100,history_efficacy,0.9375,0.46875,1.40625,0.78125,0.3125,1.25,-0.15625,-0.625,0.3125
independent_100,16,0.03,100,pre_edit_output_consistency,19.870059080421925,17.932984185870737,21.929464005399495,20.1792367734015,18.472495337482542,22.04148983536288,0.3091776929795742,-0.6351854745298624,1.5046692178584629
independent_100,16,0.03,100,immediate_efficacy,62.2,55.0,69.4,67.8,60.9,73.9,5.6,-3.900000000000001,14.9
independent_100,16,0.03,100,immediate_rephrase,41.2,36.4,45.9,43.5,40.7,46.0,2.3000000000000003,-4.6,9.4
independent_100,16,0.03,100,immediate_portability,7.6,6.5,8.7,8.3,6.8,9.8,0.6999999999999998,-0.6,2.2999999999999994
independent_100,16,0.03,100,immediate_locality_target_consistency,0.35,0.1,0.6,0.65,0.2,1.15,0.3,0.0,0.65
independent_100,32,0.03,1,history_efficacy,90.0,70.0,100.0,90.0,70.0,100.0,0.0,0.0,0.0
