rank,seed,kd_aa_percent,kd_plus_ssr_aa_percent,aa_gain_pp,kd_af_percent,kd_plus_ssr_af_percent,af_reduction_pp,kd_effective_rank,kd_plus_ssr_effective_rank,effective_rank_change,kd_prototype_abs_cosine,kd_plus_ssr_prototype_abs_cosine,prototype_overlap_change,kd_adapter_basis_abs_cosine,kd_plus_ssr_adapter_basis_abs_cosine,adapter_basis_overlap_change,source,source_sha256
8,8411,79.61195792984512,80.43813874377352,0.8261808139284028,3.2701371397285626,2.24426608050817,1.0258710592203926,163.3138885498047,130.98196411132812,-32.33192443847656,0.08477650582790375,0.3770451247692108,0.29226861894130707,0.4509107768535614,0.98586505651474,0.5349542796611786,source_data/raw/adapters/validation_runs.jsonl,4b29f1bbfbab96122a4a14127b4222ae44cd4c632e04e4947769d2e302be32e9
8,8413,79.60897214331382,80.51886561009347,0.9098934667796499,3.0271457203786474,2.1215571381648184,0.905588582213829,162.9915771484375,131.01412963867188,-31.977447509765625,0.08454606682062149,0.3749808371067047,0.2904347702860832,0.35152485966682434,0.9867319464683533,0.6352070868015289,source_data/raw/adapters/validation_runs.jsonl,4b29f1bbfbab96122a4a14127b4222ae44cd4c632e04e4947769d2e302be32e9
8,8415,79.90136382273309,80.59369511746485,0.6923312947317584,3.1236787891992988,2.3373315930963927,0.786347196102906,163.1690216064453,130.8038330078125,-32.36518859863281,0.08670243620872498,0.37270236015319824,0.28599992394447327,0.31681230664253235,0.9852228164672852,0.6684105098247528,source_data/raw/adapters/validation_runs.jsonl,4b29f1bbfbab96122a4a14127b4222ae44cd4c632e04e4947769d2e302be32e9
8,8417,79.87177018496013,80.45022886283799,0.5784586778778618,2.9499756558224464,2.237821392104518,0.7121542637179283,162.58164978027344,131.6530303955078,-30.928619384765625,0.08906186372041702,0.3670652210712433,0.27800335735082626,0.30637022852897644,0.9766058325767517,0.6702356040477753,source_data/raw/adapters/validation_runs.jsonl,4b29f1bbfbab96122a4a14127b4222ae44cd4c632e04e4947769d2e302be32e9
8,8423,79.72536954683787,80.61547062252798,0.8901010756901115,3.00962551151726,2.1285715182712384,0.8810539932460215,162.7041015625,130.7299346923828,-31.974166870117188,0.08454287052154541,0.3754844069480896,0.2909415364265442,0.548801600933075,0.9825847744941711,0.4337831735610962,source_data/raw/adapters/validation_runs.jsonl,4b29f1bbfbab96122a4a14127b4222ae44cd4c632e04e4947769d2e302be32e9
16,8411,79.02245177653677,80.2696073050129,1.247155528476128,3.45856522566795,2.2660463562720414,1.1925188693959088,163.68405151367188,134.5755615234375,-29.108489990234375,0.08432357013225555,0.3467453420162201,0.26242177188396454,0.2897659242153168,0.9667433500289917,0.6769774258136749,source_data/raw/adapters/validation_runs.jsonl,4b29f1bbfbab96122a4a14127b4222ae44cd4c632e04e4947769d2e302be32e9
16,8415,79.26635568601128,80.42188455368895,1.155528867677674,3.621185385449735,2.28530985261734,1.3358755328323948,163.79296875,132.43800354003906,-31.354965209960938,0.08213409781455994,0.37126874923706055,0.2891346514225006,0.2896518111228943,0.9479396939277649,0.6582878828048706,source_data/raw/adapters/validation_runs.jsonl,4b29f1bbfbab96122a4a14127b4222ae44cd4c632e04e4947769d2e302be32e9
16,8419,79.19356438514342,80.61941414960474,1.4258497644613186,3.556821043609751,2.1558911891397154,1.4009298544700357,163.7560272216797,133.50059509277344,-30.25543212890625,0.08053527027368546,0.3536711037158966,0.27313583344221115,0.2469356805086136,0.963775098323822,0.7168394178152084,source_data/raw/adapters/validation_runs.jsonl,4b29f1bbfbab96122a4a14127b4222ae44cd4c632e04e4947769d2e302be32e9
16,8421,79.45936307262211,80.70412163200449,1.244758559382376,3.198378488250798,1.989865417914383,1.2085130703364149,164.15122985839844,131.67738342285156,-32.473846435546875,0.08054997771978378,0.3693954348564148,0.288845457136631,0.3130575120449066,0.9641864895820618,0.6511289775371552,source_data/raw/adapters/validation_runs.jsonl,4b29f1bbfbab96122a4a14127b4222ae44cd4c632e04e4947769d2e302be32e9
16,8429,79.10256155300384,80.34110191869296,1.2385403656891185,3.3004699188076665,2.216256900652885,1.0842130181547813,163.31381225585938,131.89695739746094,-31.416854858398438,0.08722957968711853,0.3812468945980072,0.29401731491088867,0.25827106833457947,0.9449020624160767,0.6866309940814972,source_data/raw/adapters/validation_runs.jsonl,4b29f1bbfbab96122a4a14127b4222ae44cd4c632e04e4947769d2e302be32e9
