metric,unit,favorable_direction,n,kd_mean,kd_sd,kd_mean_ci95_low,kd_mean_ci95_high,kd_plus_ssr_mean,kd_plus_ssr_sd,kd_plus_ssr_mean_ci95_low,kd_plus_ssr_mean_ci95_high,favorable_paired_change_mean,favorable_paired_change_sd,paired_ci95_low,paired_ci95_high,favorable_pairs
mIoU,%,higher,10,70.54673469535722,0.24946188609662417,70.36828041235712,70.72518897835731,70.54178221784545,0.23341949342458151,70.37480397123187,70.70876046445903,-0.004952477511757536,0.07509722869139542,-0.058673798676732954,0.04876884365321788,5
Dice,%,higher,10,81.99148981518526,0.2226942831204492,81.83218392183093,82.15079570853959,81.99506785691011,0.20456069128746532,81.84873395370387,82.14140176011635,0.003578041724841796,0.05726318044837002,-0.037385569867756194,0.04454165331743978,5
IoU forgetting,%,lower,10,3.0740283154922574,0.28316213460572925,2.8714663269876493,3.2765903039968656,3.0789989083303317,0.2848439092914589,2.87523385068997,3.2827639659706933,-0.004970592838074506,0.08737498981716713,-0.0674748952144459,0.05753370953829688,5
effective rank,dimensionless,higher,10,173.7664794921875,0.18230468697824118,173.63606657536357,173.89689240901143,173.7726852416992,0.18162725398967489,173.642756931242,173.90261355215642,0.00620574951171875,0.0016773266243145502,0.005005862327417227,0.007405636696020273,10
prototype absolute cosine,dimensionless,lower,10,0.04978227876126766,0.00013566041559258057,0.049685233146104256,0.04987932437643106,0.04977430664002895,0.00013499766276629116,0.0496777351296768,0.049870878150381104,7.972121238708496e-06,2.1806829641169606e-06,6.412154620556305e-06,9.532087856860687e-06,10
