rank,metric,unit,favorable_direction,n,kd_mean,kd_sd,kd_mean_ci95_low,kd_mean_ci95_high,kd_plus_ssr_mean,kd_plus_ssr_sd,kd_plus_ssr_mean_ci95_low,kd_plus_ssr_mean_ci95_high,paired_change_mean,paired_change_sd,paired_ci95_low,paired_ci95_high
8,AA,%,higher,10,79.82249982213129,0.1949459157854916,79.68304391497992,79.96195572928266,80.4151781338438,0.2082211744964917,80.26622567869472,80.56413058899287,0.5926783117125055,0.2666438882120302,0.4019327648404468,0.7834238585845642
8,AF,%,lower,10,2.9118592019772924,0.22716727385283383,2.749353523812123,3.0743648801424617,2.2916316549035445,0.2031554270234815,2.146303017193287,2.436960292613802,0.6202275470737485,0.28716617720077875,0.4148012390469,0.825653855100597
8,effective rank,dimensionless,higher,10,162.92583160400392,0.3376861591747499,162.68426547798157,163.16739773002627,131.0674270629883,0.2568413925085154,130.88369379911367,131.2511603268629,-31.858404541015624,0.4636328554937728,-32.190067506036186,-31.52674157599506
8,prototype absolute cosine,dimensionless,descriptive change,10,0.08636358305811882,0.001805441605577769,0.08507204793721009,0.08765511817902756,0.37301064729690553,0.0037895245861255433,0.37029978471380803,0.375721509880003,0.2866470642387867,0.005294564000945647,0.282859561316513,0.2904345671610604
8,adapter-basis absolute cosine,dimensionless,descriptive change,10,0.4189720958471298,0.08302774074711411,0.3595776281150722,0.4783665635791874,0.9839752197265625,0.006492336413288076,0.9793308820373173,0.9886195574158078,0.5650031238794326,0.08315693978982286,0.5055162327199263,0.624490015038939
16,AA,%,higher,10,79.44446842747837,0.34394815830153885,79.19842273713539,79.69051411782135,80.39733171735209,0.2326004999045824,80.230939343409,80.56372409129517,0.9528632898737044,0.48957814079393797,0.602640185835829,1.3030863939115798
16,AF,%,lower,10,3.2068820816809755,0.3157071373305477,2.981038800721759,3.432725362640192,2.2978395379141174,0.1889375484788387,2.162681757809273,2.4329973180189617,0.9090425437668586,0.4495851568434249,0.5874286969890635,1.2306563905446537
16,effective rank,dimensionless,higher,10,163.77373809814452,0.412021719797311,163.47899551547033,164.0684806808187,132.43230438232422,1.0035722021089062,131.7143920768877,133.15021668776075,-31.341433715820312,0.9921917809861692,-32.051204958413635,-30.631662473226985
16,prototype absolute cosine,dimensionless,descriptive change,10,0.08267333582043648,0.0030407198808018285,0.08049813585452885,0.08484853578634412,0.36915684044361113,0.012855689845826971,0.3599604339311546,0.37835324695606765,0.2864835046231747,0.011654394244826897,0.278146453215027,0.29482055603132235
16,adapter-basis absolute cosine,dimensionless,descriptive change,10,0.2949142292141914,0.04380841955724831,0.2635755737434792,0.32625288468490365,0.9546943604946136,0.011967369605214497,0.9461334200010085,0.9632553009882188,0.6597801312804222,0.0447681685854154,0.6277549127143951,0.6918053498464494
32,AA,%,higher,10,78.82489029579685,0.2931256580130962,78.6152008320148,79.03457975957889,80.10395042993248,0.45054278053228547,79.78165154043552,80.42624931942944,1.2790601341356251,0.5428024837789124,0.8907626287767563,1.667357639494494
32,AF,%,lower,10,3.4638615479134627,0.30690787408617054,3.2443128806837205,3.683410215143205,2.5488826706756016,0.43285052095123944,2.239240061252482,2.8585252800987213,0.9149788772378618,0.5988981963213394,0.4865529165154309,1.3434048379602925
32,effective rank,dimensionless,higher,10,164.9907012939453,0.26274985881989255,164.80274136789103,165.17866121999958,134.1708236694336,1.9948758471843342,132.74377545556092,135.59787188330625,-30.81987762451172,1.9385803677871905,-32.206654478421704,-29.433100770601737
32,prototype absolute cosine,dimensionless,descriptive change,10,0.07953746765851974,0.0013882023276193041,0.07854440753654818,0.0805305277804913,0.36710500419139863,0.01542357856029516,0.3560716407532378,0.3781383676295595,0.28756753653287886,0.015038814282329333,0.2768094168781385,0.29832565618761925
32,adapter-basis absolute cosine,dimensionless,descriptive change,10,0.2318632110953331,0.02019383849476654,0.21741740926968867,0.2463090129209775,0.9033901512622833,0.02088731502589063,0.8884482662109584,0.9183320363136082,0.6715269401669502,0.03326842676253251,0.6477281413310053,0.6953257390028952
