seed,metric,unit,favorable_direction,kd,kd_plus_ssr,favorable_paired_change,segmentation_source_sha256,segmentation_cache_sha256,selection_lock_sha256,control_file,treatment_file,control_sha256,treatment_sha256
9205,mIoU,%,higher,70.33827378908684,70.41632111499669,0.07804732590984997,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9205/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9205/summary.json,0d94af38790b9bfe095ddff3d67f45b6bab1e1c03118d678769f4f3a5a762f11,0f584fc0454721d01d84fa08d3db798bf64629f504fe8aa39b10167b0d64e8ef
9205,Dice,%,higher,81.76416312779975,81.8428529864309,0.07868985863115086,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9205/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9205/summary.json,0d94af38790b9bfe095ddff3d67f45b6bab1e1c03118d678769f4f3a5a762f11,0f584fc0454721d01d84fa08d3db798bf64629f504fe8aa39b10167b0d64e8ef
9205,IoU forgetting,%,lower,3.168606454587207,3.0691295549531064,0.09947689963410067,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9205/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9205/summary.json,0d94af38790b9bfe095ddff3d67f45b6bab1e1c03118d678769f4f3a5a762f11,0f584fc0454721d01d84fa08d3db798bf64629f504fe8aa39b10167b0d64e8ef
9205,effective rank,dimensionless,higher,173.44009399414062,173.44688415527344,0.0067901611328125,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9205/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9205/summary.json,0d94af38790b9bfe095ddff3d67f45b6bab1e1c03118d678769f4f3a5a762f11,0f584fc0454721d01d84fa08d3db798bf64629f504fe8aa39b10167b0d64e8ef
9205,prototype absolute cosine,dimensionless,lower,0.049789924174547195,0.04977937042713165,1.0553747415542603e-05,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9205/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9205/summary.json,0d94af38790b9bfe095ddff3d67f45b6bab1e1c03118d678769f4f3a5a762f11,0f584fc0454721d01d84fa08d3db798bf64629f504fe8aa39b10167b0d64e8ef
9207,mIoU,%,higher,70.63988900242241,70.73118262221824,0.0912936197958345,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9207/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9207/summary.json,6879fac6bb30cc0e32e0602e90b6c5065880c14a818b46f27ad6dc36ad8eefb3,26edfee4f8c6a7b5cad978adf64d6756249db75b4829932a5ea9769bff9042c1
9207,Dice,%,higher,82.06084695074696,82.14319222418654,0.08234527343957154,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9207/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9207/summary.json,6879fac6bb30cc0e32e0602e90b6c5065880c14a818b46f27ad6dc36ad8eefb3,26edfee4f8c6a7b5cad978adf64d6756249db75b4829932a5ea9769bff9042c1
9207,IoU forgetting,%,lower,2.938267900678577,2.837150060263663,0.101117840414914,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9207/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9207/summary.json,6879fac6bb30cc0e32e0602e90b6c5065880c14a818b46f27ad6dc36ad8eefb3,26edfee4f8c6a7b5cad978adf64d6756249db75b4829932a5ea9769bff9042c1
9207,effective rank,dimensionless,higher,174.03408813476562,174.03932189941406,0.0052337646484375,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9207/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9207/summary.json,6879fac6bb30cc0e32e0602e90b6c5065880c14a818b46f27ad6dc36ad8eefb3,26edfee4f8c6a7b5cad978adf64d6756249db75b4829932a5ea9769bff9042c1
9207,prototype absolute cosine,dimensionless,lower,0.04954009875655174,0.049533113837242126,6.984919309616089e-06,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9207/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9207/summary.json,6879fac6bb30cc0e32e0602e90b6c5065880c14a818b46f27ad6dc36ad8eefb3,26edfee4f8c6a7b5cad978adf64d6756249db75b4829932a5ea9769bff9042c1
9209,mIoU,%,higher,70.7613334743821,70.77281434329412,0.011480868912016717,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9209/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9209/summary.json,c667aafb655dfdaf802faa75acaeede9cd2ffdf34f689e350ad97e7625820ed0,c3f5c2eea275cf94b1388c59f4798a147d16eaffd34f663322c1ea5c0aa13e46
9209,Dice,%,higher,82.19050005217194,82.20115429909838,0.010654246926435462,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9209/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9209/summary.json,c667aafb655dfdaf802faa75acaeede9cd2ffdf34f689e350ad97e7625820ed0,c3f5c2eea275cf94b1388c59f4798a147d16eaffd34f663322c1ea5c0aa13e46
9209,IoU forgetting,%,lower,2.8852376512179383,2.8732032045178606,0.012034446700077694,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9209/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9209/summary.json,c667aafb655dfdaf802faa75acaeede9cd2ffdf34f689e350ad97e7625820ed0,c3f5c2eea275cf94b1388c59f4798a147d16eaffd34f663322c1ea5c0aa13e46
9209,effective rank,dimensionless,higher,173.72731018066406,173.7326202392578,0.00531005859375,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9209/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9209/summary.json,c667aafb655dfdaf802faa75acaeede9cd2ffdf34f689e350ad97e7625820ed0,c3f5c2eea275cf94b1388c59f4798a147d16eaffd34f663322c1ea5c0aa13e46
9209,prototype absolute cosine,dimensionless,lower,0.04992567375302315,0.04991806298494339,7.6107680797576904e-06,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9209/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9209/summary.json,c667aafb655dfdaf802faa75acaeede9cd2ffdf34f689e350ad97e7625820ed0,c3f5c2eea275cf94b1388c59f4798a147d16eaffd34f663322c1ea5c0aa13e46
