edit_count,family,metric,baseline_mean,ssr_mean,delta_mean,delta_ci95_low,delta_ci95_high
1,performance,history_efficacy,90.0,90.0,0.0,0.0,0.0
1,performance,pre_edit_output_consistency,18.33551438525319,18.322109896689653,-0.013404488563537598,-0.03845617128536105,0.002597144339233637
1,performance,immediate_efficacy,90.0,90.0,0.0,0.0,0.0
1,performance,immediate_rephrase,90.0,90.0,0.0,0.0,0.0
1,performance,immediate_portability,10.0,10.0,0.0,0.0,0.0
1,performance,immediate_locality_target_consistency,10.0,10.0,0.0,0.0,0.0
1,geometry,effective_rank,25.41357702570302,25.414949566977366,0.0013725412743440303,0.0005590044387751902,0.002165088493909364
1,geometry,effective_rank_fraction,0.6353394256425756,0.6353737391744342,3.431353185858743e-05,1.4325571379485146e-05,5.437310625402231e-05
1,geometry,near_row_cosine,-0.004139351101871317,0.04639353212459939,0.05053288322647072,0.048926478612838276,0.05198908197351142
1,geometry,surround_row_cosine,0.0021295361608797032,-0.007476702727541351,-0.009606238888421053,-0.00986012097380887,-0.009334224798062526
1,geometry,center_surround_contrast,-0.00626888724987761,0.053870234975745133,0.06013912222562275,0.05829668811429137,0.061870491220776924
1,geometry,kernel_alignment,-0.008058248726082897,0.0878764325024349,0.09593468122851781,0.09045548350411674,0.10116176941871904
2,performance,history_efficacy,50.0,50.0,0.0,0.0,0.0
2,performance,pre_edit_output_consistency,18.534707352519035,18.479087743908167,-0.055619608610868454,-0.3389782924205065,0.13683311967179176
2,performance,immediate_efficacy,95.0,95.0,0.0,0.0,0.0
2,performance,immediate_rephrase,70.0,75.0,5.0,-15.0,25.0
2,performance,immediate_portability,20.0,15.0,-5.0,-20.0,10.0
2,performance,immediate_locality_target_consistency,5.0,5.0,0.0,0.0,0.0
2,geometry,effective_rank,24.785046706029345,24.6594856513398,-0.12556105468954365,-0.30361118416701105,0.05717114465577282
2,geometry,effective_rank_fraction,0.6196261676507336,0.616487141283495,-0.0031390263672385955,-0.0077509111277759245,0.0015229696836322555
2,geometry,near_row_cosine,-0.0016603283333292244,0.07955005180473174,0.08121038013806095,0.07839675129333028,0.08419489265024449
2,geometry,surround_row_cosine,0.001445621579942521,-0.011842319522797696,-0.013287941102740217,-0.014689668441734654,-0.011822755581277695
2,geometry,center_surround_contrast,-0.0031059499287169148,0.09139237140521539,0.0944983213339323,0.09079173203036979,0.09861987877266075
2,geometry,kernel_alignment,-0.0038323594792050893,0.16126425431409316,0.16509661379329826,0.1562742704821109,0.174498317953309
5,performance,history_efficacy,14.0,16.0,2.0,-4.0,8.0
5,performance,pre_edit_output_consistency,19.383963588625193,19.32241629809141,-0.06154729053378105,-1.6578341969288886,1.657615676522255
5,performance,immediate_efficacy,86.0,90.0,4.0,-4.0,14.0
5,performance,immediate_rephrase,66.0,68.0,2.0,-6.0,10.0
5,performance,immediate_portability,12.0,12.0,0.0,-8.0,8.0
5,performance,immediate_locality_target_consistency,2.0,2.0,0.0,0.0,0.0
5,geometry,effective_rank,25.143582808971406,24.55871833520276,-0.5848644737686431,-0.8201871206717836,-0.24401558088404754
5,geometry,effective_rank_fraction,0.6285895702242851,0.613967958380069,-0.014621611844216065,-0.02045163738807394,-0.0061130072929497115
5,geometry,near_row_cosine,-0.0015529890486050135,0.15252872981031293,0.15408171885891792,0.1488363502652443,0.15838063408183847
5,geometry,surround_row_cosine,0.0016540624525085996,-0.01407740563502427,-0.01573146808753287,-0.016643051237637152,-0.014635761331046687
5,geometry,center_surround_contrast,-0.0032070514901403973,0.16660613537366903,0.16981318686380942,0.1643656065783138,0.17394441781819947
5,geometry,kernel_alignment,-0.004200557194341823,0.31389245559527945,0.3180930127896212,0.3050082995990546,0.33009457784562907
10,performance,history_efficacy,7.0,8.0,1.0,-2.0,4.0
10,performance,pre_edit_output_consistency,19.953549280762672,19.04824137687683,-0.9053079038858414,-1.8257746980525553,-0.12269324343651555
10,performance,immediate_efficacy,79.0,85.0,6.0,-3.0,18.0
10,performance,immediate_rephrase,55.0,60.0,5.0,-1.0,13.0
10,performance,immediate_portability,9.0,11.0,2.0,-3.0,8.0
10,performance,immediate_locality_target_consistency,1.0,1.0,0.0,0.0,0.0
10,geometry,effective_rank,25.994914226872577,25.545753948177612,-0.4491602786949702,-0.7821647385720688,-0.12480467832514272
10,geometry,effective_rank_fraction,0.6498728556718145,0.6386438487044404,-0.011229006967374267,-0.019619105026658118,-0.003131491505940111
10,geometry,near_row_cosine,-0.0018780399059063972,0.24962922434788198,0.25150726425378833,0.24531514776457194,0.25736184372424226
10,geometry,surround_row_cosine,0.0022921772895253003,-0.0034286877467520427,-0.0057208650362773426,-0.007208403717189355,-0.00411272379541586
10,geometry,center_surround_contrast,-0.004170217170758406,0.2530579115929348,0.2572281287636932,0.2517174396204025,0.2624513836227496
10,geometry,kernel_alignment,-0.005248674168548259,0.49817303113107164,0.5034217052996199,0.49171853442583957,0.5152720551485694
25,performance,history_efficacy,3.6,4.4,0.8,0.0,2.0
25,performance,pre_edit_output_consistency,18.191237319260836,18.3235633186996,0.13232599943876266,-0.13612055638805032,0.4904185710474848
25,performance,immediate_efficacy,78.4,82.8,4.3999999999999995,-3.2,11.2
25,performance,immediate_rephrase,48.0,50.4,2.4,-4.4,10.0
25,performance,immediate_portability,8.4,10.0,1.6,-0.4,3.6
25,performance,immediate_locality_target_consistency,0.4,0.4,0.0,0.0,0.0
25,geometry,effective_rank,27.612108704447746,27.750251311063767,0.1381426066160202,-0.2198633499124213,0.4552557002220828
25,geometry,effective_rank_fraction,0.6903027176111938,0.6937562827765942,0.003453565165400507,-0.005311560806153129,0.011456599087321363
25,geometry,near_row_cosine,-0.0015648598809749256,0.42251165002318364,0.4240765099041585,0.41758282591365237,0.4308595068057089
25,geometry,surround_row_cosine,0.0031924338113250477,0.06594964946624324,0.06275721565491818,0.060738885605183805,0.06489314104455925
25,geometry,center_surround_contrast,-0.004757293707812744,0.356562000606209,0.36131929431402177,0.35631185205420735,0.36669717457793466
25,geometry,kernel_alignment,-0.005300480871296388,0.7081789406681699,0.7134794215394663,0.7087634016744786,0.7179660768814425
50,performance,history_efficacy,1.4,1.6,0.2,-0.4,0.8
50,performance,pre_edit_output_consistency,18.594758696854115,18.397917952388525,-0.19684074446558952,-0.5188838951289654,0.05208608461543902
50,performance,immediate_efficacy,76.6,83.2,6.6,1.2,12.2
50,performance,immediate_rephrase,46.4,48.2,1.8000000000000014,-2.599999999999999,6.400000000000001
50,performance,immediate_portability,8.0,9.8,1.8,0.3999999999999998,3.1999999999999993
50,performance,immediate_locality_target_consistency,0.2,0.3,0.1,0.0,0.3
50,geometry,effective_rank,28.694539771761214,29.00275497202362,0.30821520026241095,-0.1624186129548718,0.8208268833160405
50,geometry,effective_rank_fraction,0.7173634942940303,0.7250688743005906,0.007705380006560225,-0.004018306822782169,0.020204637648670788
50,geometry,near_row_cosine,-0.001618757580113542,0.5534945898556283,0.5551133474357418,0.547121063107963,0.5624790862209244
50,geometry,surround_row_cosine,0.0033488339409343234,0.1761848315962457,0.17283599765531138,0.16812974627028682,0.17821577867481783
50,geometry,center_surround_contrast,-0.004967591537310259,0.37730975791013666,0.3822773494474469,0.37855169892669754,0.38552472889988354
50,geometry,kernel_alignment,-0.005582324005943714,0.7575272892867881,0.7631096132927319,0.7585980654401921,0.7679131374813084
100,performance,history_efficacy,0.4,0.8,0.4,0.1,0.7
100,performance,pre_edit_output_consistency,20.025841873139143,19.391936790198088,-0.6339050829410553,-2.872965800575912,0.9690715298056602
100,performance,immediate_efficacy,70.9,80.6,9.7,5.0,14.4
100,performance,immediate_rephrase,41.8,47.1,5.300000000000001,1.1,9.0
100,performance,immediate_portability,8.5,9.7,1.1999999999999997,-0.10000000000000045,2.5
100,performance,immediate_locality_target_consistency,0.25,0.5,0.25,0.0,0.55
100,geometry,effective_rank,29.599776199672903,29.924579210792267,0.3248030111193653,-0.1802100349909487,0.8383425546863236
100,geometry,effective_rank_fraction,0.7399944049918226,0.7481144802698066,0.008120075277984196,-0.0044016092579279124,0.020558553312905205
100,geometry,near_row_cosine,-0.0013298341950530813,0.6648352969171745,0.6661651311122276,0.6612762012161252,0.6704874720063859
100,geometry,surround_row_cosine,0.0033899527588573614,0.3141782909232591,0.31078833816440177,0.3065249236976878,0.3147190859086172
100,geometry,center_surround_contrast,-0.004719786935882959,0.35065700603382927,0.3553767929697122,0.3538690763799435,0.3568601644165678
100,geometry,kernel_alignment,-0.005184880072798949,0.7434460875046041,0.748630967577403,0.7458687062235547,0.7510535076190559
